date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,depreciation_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost
2005-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,884.4266666666666,290.73706503652613,189229.26293496348,236900,47670.73706503652,2005,703.0,234.33333333333334,197.41666666666666,197.41666666666666,1513.5933333333335,4738.0,0.0,6251.593333333333
2005-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,883.0698936964961,292.0938380066966,188937.1690969568,237600,48662.830903043214,2005,703.0,234.33333333333334,198.0,198.0,1513.4032270298294,0.0,0.0,1513.4032270298294
2005-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,881.7067891191316,293.45694258406115,188643.7121543727,238500,49856.28784562729,2005,703.0,234.33333333333334,198.75,198.75,1513.5401224524649,0.0,0.0,1513.5401224524649
2005-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,880.3373233870726,294.82640831612014,188348.8857460566,239300,50951.11425394341,2005,703.0,234.33333333333334,199.41666666666666,199.41666666666666,1513.5039900537395,0.0,0.0,1513.5039900537395
2005-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,878.9614668149306,296.2022648882621,188052.68348116832,239800,51747.31651883168,2005,703.0,234.33333333333334,199.83333333333334,199.83333333333334,1512.9614668149304,0.0,0.0,1512.9614668149304
2005-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,877.5791895787854,297.58454212440733,187755.0989390439,241100,53344.901060956094,2005,703.0,234.33333333333334,200.91666666666666,200.91666666666666,1513.7458562454522,0.0,0.0,1513.7458562454522
2005-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,876.1904617155382,298.9732699876546,187456.12566905626,243000,55543.87433094374,2005,703.0,234.33333333333334,202.5,202.5,1515.5237950488715,0.0,0.0,1515.5237950488715
2005-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,874.7952531222625,300.3684785809303,187155.75719047533,245100,57944.24280952467,2005,703.0,234.33333333333334,204.25,204.25,1517.6285864555957,0.0,0.0,1517.6285864555957
2005-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,873.3935335555515,301.7701981476413,186853.9869923277,247300,60446.0130076723,2005,703.0,234.33333333333334,206.08333333333334,206.08333333333334,1519.8935335555514,0.0,0.0,1519.8935335555514
2005-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,871.9852726308625,303.17845907233027,186550.80853325536,250000,63449.19146674464,2005,703.0,234.33333333333334,208.33333333333334,208.33333333333334,1522.9852726308623,0.0,0.0,1522.9852726308623
2005-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,870.5704398218583,304.5932918813345,186246.215241374,252500,66253.78475862599,2005,703.0,234.33333333333334,210.41666666666666,210.41666666666666,1525.7371064885251,0.0,0.0,1525.7371064885251
2005-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,869.1490044597452,306.0147272434475,185940.20051413056,255000,69059.79948586944,2005,703.0,234.33333333333334,212.5,212.5,1528.4823377930786,0.0,0.0,1528.4823377930786
2006-01-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,867.7209357326092,307.4427959705836,185632.75771815996,258000,72367.24228184004,2006,724.0,241.33333333333334,215.0,215.0,1539.0542690659424,0.0,0.0,1539.0542690659424
2006-02-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,866.2862026847464,308.87752901844635,185323.88018914152,260400,75076.11981085848,2006,724.0,241.33333333333334,217.0,217.0,1541.6195360180798,0.0,0.0,1541.6195360180798
2006-03-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,864.8447742159937,310.3189574871991,185013.5612316543,263000,77986.43876834569,2006,724.0,241.33333333333334,219.16666666666666,219.16666666666666,1544.5114408826605,0.0,0.0,1544.5114408826605
2006-04-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,863.3966190810534,311.7671126221394,184701.79411903216,265900,81198.20588096784,2006,724.0,241.33333333333334,221.58333333333334,221.58333333333334,1547.8966190810531,0.0,0.0,1547.8966190810531
2006-05-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,861.9417058888166,313.22202581437614,184388.57209321778,268900,84511.42790678222,2006,724.0,241.33333333333334,224.08333333333334,224.08333333333334,1551.4417058888164,0.0,0.0,1551.4417058888164
2006-06-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,860.4800031016829,314.68372860150987,184073.88836461626,271700,87626.11163538374,2006,724.0,241.33333333333334,226.41666666666666,226.41666666666666,1554.6466697683497,0.0,0.0,1554.6466697683497
2006-07-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,859.0114790348758,316.1522526683169,183757.73611194795,274200,90442.26388805205,2006,724.0,241.33333333333334,228.5,228.5,1557.3448123682092,0.0,0.0,1557.3448123682092
2006-08-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,857.536101855757,317.62762984743574,183440.1084821005,276800,93359.8915178995,2006,724.0,241.33333333333334,230.66666666666666,230.66666666666666,1560.2027685224239,0.0,0.0,1560.2027685224239
2006-09-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,856.0538395831356,319.1098921200571,183120.99858998045,279600,96479.00141001955,2006,724.0,241.33333333333334,233.0,233.0,1563.387172916469,0.0,0.0,1563.387172916469
2006-10-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,854.5646600865754,320.5990716166174,182800.39951836382,280900,98099.60048163618,2006,724.0,241.33333333333334,234.08333333333334,234.08333333333334,1564.0646600865753,0.0,0.0,1564.0646600865753
2006-11-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,853.0685310856977,322.09520061749504,182478.3043177463,282900,100421.69568225369,2006,724.0,241.33333333333334,235.75,235.75,1565.901864419031,0.0,0.0,1565.901864419031
2006-12-01,236900,47380.0,189520.0,fixed,5,0.055999999999999994,1175.1637317031928,851.5654201494827,323.59831155371,182154.7060061926,285100,102945.2939938074,2006,724.0,241.33333333333334,237.58333333333334,237.58333333333334,1568.0654201494826,0.0,0.0,1568.0654201494826
