date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio
2005-01-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,884.4266666666666,290.73706503652613,189229.26293496348,236900,47670.73706503652,2005,703.0,234.33333333333334,197.41666666666666,118450.0,98.70833333333333,59.225,1474.11,4738.0,0.0,6212.11,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-02-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,883.0698936964961,292.0938380066966,188937.1690969568,237600,48662.830903043214,2005,703.0,234.33333333333334,198.0,118800.0,99.0,59.400000000000006,1473.8032270298295,0.0,0.0,1473.8032270298295,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-03-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,881.7067891191316,293.45694258406115,188643.7121543727,238500,49856.28784562729,2005,703.0,234.33333333333334,198.75,119250.0,99.375,59.625,1473.7901224524649,0.0,0.0,1473.7901224524649,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-04-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,880.3373233870726,294.82640831612014,188348.8857460566,239300,50951.11425394341,2005,703.0,234.33333333333334,199.41666666666666,119650.0,99.70833333333333,59.824999999999996,1473.620656720406,0.0,0.0,1473.620656720406,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-05-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,878.9614668149306,296.2022648882621,188052.68348116832,239800,51747.31651883168,2005,703.0,234.33333333333334,199.83333333333334,119900.0,99.91666666666667,59.949999999999996,1472.994800148264,0.0,0.0,1472.994800148264,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-06-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,877.5791895787854,297.58454212440733,187755.0989390439,241100,53344.901060956094,2005,703.0,234.33333333333334,200.91666666666666,120550.0,100.45833333333333,60.275000000000006,1473.5625229121188,0.0,0.0,1473.5625229121188,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-07-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,876.1904617155382,298.9732699876546,187456.12566905626,243000,55543.87433094374,2005,703.0,234.33333333333334,202.5,121500.0,101.25,60.75,1475.0237950488715,0.0,0.0,1475.0237950488715,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-08-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,874.7952531222625,300.3684785809303,187155.75719047533,245100,57944.24280952467,2005,703.0,234.33333333333334,204.25,122550.0,102.125,61.275000000000006,1476.7785864555958,0.0,0.0,1476.7785864555958,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-09-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,873.3935335555515,301.7701981476413,186853.9869923277,247300,60446.0130076723,2005,703.0,234.33333333333334,206.08333333333334,123650.0,103.04166666666667,61.824999999999996,1478.676866888885,0.0,0.0,1478.676866888885,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-10-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,871.9852726308625,303.17845907233027,186550.80853325536,250000,63449.19146674464,2005,703.0,234.33333333333334,208.33333333333334,125000.0,104.16666666666667,62.5,1481.3186059641957,0.0,0.0,1481.3186059641957,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-11-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,870.5704398218583,304.5932918813345,186246.215241374,252500,66253.78475862599,2005,703.0,234.33333333333334,210.41666666666666,126250.0,105.20833333333333,63.125,1483.6537731551916,0.0,0.0,1483.6537731551916,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2005-12-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,869.1490044597452,306.0147272434475,185940.20051413056,255000,69059.79948586944,2005,703.0,234.33333333333334,212.5,127500.0,106.25,63.75,1485.9823377930786,0.0,0.0,1485.9823377930786,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-01-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,867.7209357326092,307.4427959705836,185632.75771815996,258000,72367.24228184004,2006,724.0,241.33333333333334,215.0,129000.0,107.5,64.5,1496.0542690659424,0.0,0.0,1496.0542690659424,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-02-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,866.2862026847464,308.87752901844635,185323.88018914152,260400,75076.11981085848,2006,724.0,241.33333333333334,217.0,130200.0,108.5,65.10000000000001,1498.2195360180797,0.0,0.0,1498.2195360180797,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-03-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,864.8447742159937,310.3189574871991,185013.5612316543,263000,77986.43876834569,2006,724.0,241.33333333333334,219.16666666666666,131500.0,109.58333333333333,65.75,1500.678107549327,0.0,0.0,1500.678107549327,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-04-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,863.3966190810534,311.7671126221394,184701.79411903216,265900,81198.20588096784,2006,724.0,241.33333333333334,221.58333333333334,132950.0,110.79166666666667,66.47500000000001,1503.5799524143865,0.0,0.0,1503.5799524143865,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-05-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,861.9417058888166,313.22202581437614,184388.57209321778,268900,84511.42790678222,2006,724.0,241.33333333333334,224.08333333333334,134450.0,112.04166666666667,67.22500000000001,1506.6250392221498,0.0,0.0,1506.6250392221498,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-06-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,860.4800031016829,314.68372860150987,184073.88836461626,271700,87626.11163538374,2006,724.0,241.33333333333334,226.41666666666666,135850.0,113.20833333333333,67.925,1509.3633364350162,0.0,0.0,1509.3633364350162,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-07-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,859.0114790348758,316.1522526683169,183757.73611194795,274200,90442.26388805205,2006,724.0,241.33333333333334,228.5,137100.0,114.25,68.55,1511.6448123682092,0.0,0.0,1511.6448123682092,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-08-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,857.536101855757,317.62762984743574,183440.1084821005,276800,93359.8915178995,2006,724.0,241.33333333333334,230.66666666666666,138400.0,115.33333333333333,69.2,1514.0694351890904,0.0,0.0,1514.0694351890904,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-09-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,856.0538395831356,319.1098921200571,183120.99858998045,279600,96479.00141001955,2006,724.0,241.33333333333334,233.0,139800.0,116.5,69.9,1516.787172916469,0.0,0.0,1516.787172916469,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
2006-10-01,236900,47380.0,189520.0,5-year fixed,5,0.055999999999999994,1175.1637317031928,854.5646600865754,320.5990716166174,182800.39951836382,280900,98099.60048163618,2006,724.0,241.33333333333334,234.08333333333334,140450.0,117.04166666666667,70.22500000000001,1517.2479934199087,0.0,0.0,1517.2479934199087,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5
