date,house_price_at_purchase,down_payment,initial_loan_amount,mortgage_type,mortgage_term_years,mortgage_rate,mortgage_payment,mortgage_interest,mortgage_principal,mortgage_balance,house_price,owner_networth,year,rent,maintenance_cost,property_tax,structure_value,depreciation_cost,home_insurance_cost,owner_monthly_cost,purchase_cost,sale_cost,owner_monthly_unrecoverable_cost,scenario_id,city,portfolio_name,start_date,end_date,down_payment_pct,property_tax_rate,structure_ratio,sp500_return,tsx_return,rent_growth_mode,rent_control_rate,annual_move_probability,move_cost_multiplier,portfolio_return,portfolio_return_net,monthly_investment_cost,owner_total_cash_outflow,month_number,monthly_move_probability,random_move,renter_moves,actual_renter_rent,move_cost,renter_total_cash_outflow,monthly_savings_difference,renter_monthly_investment,renter_portfolio_value,renter_networth,wealth_difference,wealth_ratio,investment_fee,tax_drag
2005-01-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,884.4266666666666,290.73706503652613,189229.26293496348,236900,47670.73706503652,2005,703.0,234.33333333333337,197.41666666666663,118450.0,98.70833333333331,59.225,1474.11,4738.0,0.0,6212.11,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.025290467099494562,-0.004607049001265406,mixed,0.02,0.1,1.2,-0.004607049001265406,-0.004773715667932073,0.00016666666666666666,1705.622065036526,0,0.008333333333333333,0.3745401188473625,False,703.0,0.0,703.0,1002.622065036526,1002.622065036526,52871.82555185525,52871.82555185525,5201.088486818728,1.109104427727286,0.001,0.001
2005-02-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,883.0698936964961,292.0938380066966,188937.1690969568,237600,48662.830903043214,2005,703.0,234.33333333333337,198.0,118800.0,99.0,59.400000000000006,1473.8032270298297,0.0,0.0,1473.8032270298297,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,0.018903346078316563,0.05043404569702625,mixed,0.02,0.1,1.2,0.05043404569702625,0.050267379030359584,0.00016666666666666666,1706.4970650365262,1,0.008333333333333333,0.9507143064099162,False,704.1716666666667,0.0,704.1716666666667,1002.3253983698595,1002.3253983698595,56531.87904526727,56531.87904526727,7869.0481422240555,1.1617055151991158,0.001,0.001
2005-03-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,881.7067891191316,293.45694258406115,188643.7121543727,238500,49856.28784562729,2005,703.0,234.33333333333337,198.75,119250.0,99.375,59.625,1473.7901224524649,0.0,0.0,1473.7901224524649,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.019117655748441043,-0.005781781698954269,mixed,0.02,0.1,1.2,-0.005781781698954269,-0.005948448365620936,0.00016666666666666666,1707.6220650365262,2,0.008333333333333333,0.7319939418114051,False,705.3452861111112,0.0,705.3452861111112,1002.276778925415,1002.276778925415,57197.87886068039,57197.87886068039,7341.591015053098,1.147255067159939,0.001,0.001
2005-04-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,880.3373233870726,294.82640831612014,188348.8857460566,239300,50951.11425394341,2005,703.0,234.33333333333337,199.41666666666663,119650.0,99.70833333333331,59.825,1473.620656720406,0.0,0.0,1473.620656720406,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.0201085818816793,-0.025290250093629063,mixed,0.02,0.1,1.2,-0.025290250093629063,-0.02545691676029573,0.00016666666666666666,1708.622065036526,3,0.008333333333333333,0.5986584841970366,False,706.5208615879632,0.0,706.5208615879632,1002.1012034485628,1002.1012034485628,56743.89842310713,56743.89842310713,5792.784169163722,1.1136929830482634,0.001,0.001
2005-05-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,878.9614668149306,296.2022648882621,188052.68348116832,239800,51747.31651883168,2005,703.0,234.33333333333337,199.83333333333337,119900.0,99.91666666666669,59.95,1472.994800148264,0.0,0.0,1472.994800148264,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,0.029952046262565757,0.025402111150246043,mixed,0.02,0.1,1.2,0.025402111150246043,0.025235444483579377,0.00016666666666666666,1709.2470650365265,4,0.008333333333333333,0.15601864044243652,False,707.6983963572765,0.0,707.6983963572765,1001.54866867925,1001.54866867925,59177.40459022457,59177.40459022457,7430.088071392893,1.1435840265975719,0.001,0.001
2005-06-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,877.5791895787854,297.58454212440733,187755.0989390439,241100,53344.901060956094,2005,703.0,234.33333333333337,200.91666666666663,120550.0,100.45833333333331,60.275000000000006,1473.5625229121188,0.0,0.0,1473.5625229121188,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.0001427142257658387,0.03075786120970503,mixed,0.02,0.1,1.2,0.03075786120970503,0.030591194543038363,0.00016666666666666666,1710.872065036526,5,0.008333333333333333,0.15599452033620265,False,708.8778936845387,0.0,708.8778936845387,1001.9941713519873,1001.9941713519873,61989.70625794821,61989.70625794821,8644.805196992114,1.1620549485528875,0.001,0.001
2005-07-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,876.1904617155382,298.9732699876546,187456.12566905623,243000,55543.87433094374,2005,703.0,234.33333333333337,202.5,121500.0,101.25,60.75,1475.0237950488715,0.0,0.0,1475.0237950488715,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,0.03596828719381229,0.05252049925273661,mixed,0.02,0.1,1.2,0.05252049925273661,0.05235383258606994,0.00016666666666666666,1713.2470650365262,6,0.008333333333333333,0.05808361216819946,False,710.0593568406796,0.0,710.0593568406796,1003.1877081958467,1003.1877081958467,66238.29266963233,66238.29266963233,10694.418338688585,1.19254001395309,0.001,0.001
2005-08-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,874.7952531222625,300.3684785809303,187155.75719047533,245100,57944.24280952467,2005,703.0,234.33333333333337,204.25,122550.0,102.125,61.275000000000006,1476.7785864555958,0.0,0.0,1476.7785864555958,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.011222104874496597,0.023601876637020514,mixed,0.02,0.1,1.2,0.023601876637020514,0.023435209970353848,0.00016666666666666666,1715.8720650365262,7,0.008333333333333333,0.8661761457749352,False,711.2427891020808,0.0,711.2427891020808,1004.6292759344454,1004.6292759344454,68795.23024235736,68795.23024235736,10850.987432832684,1.1872660148222531,0.001,0.001
2005-09-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,873.3935335555515,301.7701981476413,186853.9869923277,247300,60446.0130076723,2005,703.0,234.33333333333337,206.08333333333337,123650.0,103.04166666666669,61.825,1478.676866888885,0.0,0.0,1478.676866888885,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,0.006949024694760331,0.03214014565700296,mixed,0.02,0.1,1.2,0.03214014565700296,0.03197347899033629,0.00016666666666666666,1718.6220650365265,8,0.008333333333333333,0.6011150117432088,False,712.4281937505843,0.0,712.4281937505843,1006.1938712859421,1006.1938712859421,72001.04696243267,72001.04696243267,11555.033954760365,1.1911628803920236,0.001,0.001
2005-10-01,236900,47380.0,189520.0,5-year fixed,5,0.0559999999999999,1175.1637317031928,871.9852726308625,303.17845907233027,186550.80853325536,250000,63449.19146674464,2005,703.0,234.33333333333337,208.33333333333337,125000.0,104.16666666666669,62.5,1481.3186059641955,0.0,0.0,1481.3186059641955,1,Canada,tsx_only,2005-01-01,2025-12-01,0.2,0.01,0.5,-0.017740780066319406,-0.057075137579687296,mixed,0.02,0.1,1.2,-0.057075137579687296,-0.057241804246353965,0.00016666666666666666,1721.9970650365265,9,0.008333333333333333,0.7080725777960455,False,713.615574073502,0.0,713.615574073502,1008.3814909630245,1008.3814909630245,68887.95861763958,68887.95861763958,5438.7671508949425,1.0857184626812075,0.001,0.001
