start_year,holding_period,end_year,start_date,end_date,scenario_label,canada_house_final_index,tsx_final_index,sp500_final_index,canada_house_cagr,tsx_cagr,sp500_cagr
1990,5,1995,1990-01-01,1995-12-01,1990 + 5Y (1995),86.41851755735479,111.43743112210531,191.02385704857306,-0.028771624263715934,0.02189486871974511,0.13819722378276778
1990,10,2000,1990-01-01,2000-12-01,1990 + 10Y (2000),86.33965964926871,191.7727901515592,413.2099092875799,-0.014580769645417768,0.06728080491894839,0.15243668038170477
1990,15,2005,1990-01-01,2005-12-01,1990 + 15Y (2005),118.97478984367496,217.46149219171292,267.9584708176669,0.011650102242810156,0.05315466927255175,0.06791781805653518
1990,20,2010,1990-01-01,2010-12-01,1990 + 20Y (2010),141.5455002960756,237.49085435005068,214.56448982147575,0.017524332255680397,0.04419676762433489,0.03890991827784318
1990,25,2015,1990-01-01,2015-12-01,1990 + 25Y (2015),173.26802942690372,213.48573825211702,440.6034060253227,0.02223027101310371,0.030800818446935052,0.061113681119601804
1990,30,2020,1990-01-01,2020-12-01,1990 + 30Y (2020),236.7827694037052,263.3767648552864,696.3391312757967,0.029149189899602135,0.032807180412961934,0.06682706909489111
1990,35,2025,1990-01-01,2025-12-01,1990 + 35Y (2025),203.9828978704063,398.96311032785013,1138.130962682211,0.02057643411368204,0.04032613007809016,0.07195590528397222
1995,5,2000,1995-01-01,2000-12-01,1995 + 5Y (2000),93.87926908548383,199.1438490729223,270.66952039844443,-0.012552669796614846,0.14771320751830253,0.2203597371033934
1995,10,2005,1995-01-01,2005-12-01,1995 + 10Y (2005),129.36426151661175,225.8199327755197,175.52384188454047,0.02608049330165496,0.08486632192983601,0.05787319196659779
1995,15,2010,1995-01-01,2010-12-01,1995 + 15Y (2010),153.90595890827402,246.6191518489587,140.5485837806876,0.029161889572153266,0.062025928908560735,0.02295162896401548
1995,20,2015,1995-01-01,2015-12-01,1995 + 20Y (2015),188.3986574021386,221.6913650998227,288.6133897427804,0.032176317225274254,0.04060866739195812,0.05442531431052133
1995,25,2020,1995-01-01,2020-12-01,1995 + 25Y (2020),257.45982105970444,273.5000240034275,456.1308295390257,0.038552315915987956,0.04106607573343646,0.06258474599312724
1995,30,2025,1995-01-01,2025-12-01,1995 + 30Y (2025),221.79570125482698,414.2978227829006,745.5226868855572,0.02690855243190282,0.04852089216884492,0.06925681954778962
2000,5,2005,2000-01-01,2005-12-01,2000 + 5Y (2005),138.12378904195324,115.49407212424529,62.36952072438052,0.06672800463085116,0.029228820459146432,-0.09009828970951184
2000,10,2010,2000-01-01,2010-12-01,2000 + 10Y (2010),164.3272566265622,126.13169156851143,49.94163593261688,0.050923153881116345,0.023487215043813903,-0.06707597691480482
2000,15,2015,2000-01-01,2015-12-01,2000 + 15Y (2015),201.15552862688176,113.38254420442794,102.55403824135125,0.04769643199201923,0.00840830369085488,0.0016827259318779042
2000,20,2020,2000-01-01,2020-12-01,2000 + 20Y (2020),274.8929696186856,139.8797312088252,162.07861519278194,0.051860584955252476,0.016922226032427323,0.024439430101152126
2000,25,2025,2000-01-01,2025-12-01,2000 + 25Y (2025),236.81395689488718,211.88980989101256,264.90926913957884,0.0350856596039002,0.030491473891997023,0.03973792689839062
2005,5,2010,2005-01-01,2010-12-01,2005 + 5Y (2010),127.5488279609764,130.8916179121839,78.524880578425,0.04986944037641594,0.05531562216868946,-0.04720063964661447
2005,10,2015,2005-01-01,2015-12-01,2005 + 10Y (2015),156.13448700440443,117.66134640203522,161.249095175873,0.04556222448997027,0.016397016047358326,0.048937781901678745
2005,15,2020,2005-01-01,2020-12-01,2005 + 15Y (2020),213.3685963568146,145.15847764635365,254.84154983432506,0.05182147452978181,0.02515490423909439,0.06435053429610171
2005,20,2025,2005-01-01,2025-12-01,2005 + 20Y (2025),183.8121274998611,219.88605473252528,416.5255770029255,0.030905147368594177,0.04018331771927053,0.07394510718845404
2010,5,2015,2010-01-01,2015-12-01,2010 + 5Y (2015),123.80507464857848,106.69945208127565,227.5085007786873,0.0436327262895293,0.01305363183594288,0.17868980110971044
2010,10,2020,2010-01-01,2020-12-01,2010 + 10Y (2020),169.18821399703108,131.63481893957086,359.55934435283274,0.05399126241186347,0.027867366661235682,0.1365199354236053
2010,15,2025,2010-01-01,2025-12-01,2010 + 15Y (2025),145.7517464786135,199.40041719485217,587.6814964856449,0.02543369631597292,0.04708451623626919,0.12532025114870549
2015,5,2020,2015-01-01,2020-12-01,2015 + 5Y (2020),147.64921980400555,107.48126629569023,179.98169895678976,0.08105112057702235,0.014533880393376108,0.12472324107053945
2015,10,2025,2015-01-01,2025-12-01,2015 + 10Y (2025),127.19639946678633,162.81261684896808,294.1709507601113,0.02434790085371974,0.04995045397431208,0.11393532999798683
2020,5,2025,2020-01-01,2025-12-01,2020 + 5Y (2025),92.6231215844771,151.81911933376554,185.44571436299225,-0.015209426816532479,0.08708948142751138,0.13147082528901155
