date,Attribute,Value
1999-02-01,Canada,100.0
1999-03-01,Canada,100.28504333717603
1999-04-01,Canada,100.28504333717603
1999-05-01,Canada,100.28504333717603
1999-06-01,Canada,103.08697322915333
1999-07-01,Canada,103.08697322915333
1999-08-01,Canada,103.08697322915333
1999-09-01,Canada,101.49575167584646
1999-10-01,Canada,101.49575167584646
1999-11-01,Canada,101.49575167584646
1999-12-01,Canada,102.6026215789249
2000-01-01,Canada,102.6026215789249
2000-02-01,Canada,102.6026215789249
2000-03-01,Canada,102.59356987319073
2000-04-01,Canada,102.59356987319073
2000-05-01,Canada,102.59356987319073
2000-06-01,Canada,103.6746509542718
2000-07-01,Canada,103.6746509542718
2000-08-01,Canada,103.6746509542718
2000-09-01,Canada,102.48426625677811
2000-10-01,Canada,102.48426625677811
2000-11-01,Canada,102.48426625677811
2000-12-01,Canada,102.84479740403911
2001-01-01,Canada,102.84479740403911
2001-02-01,Canada,102.84479740403911
2001-03-01,Canada,102.35156483497715
2001-04-01,Canada,102.35156483497715
2001-05-01,Canada,102.35156483497715
2001-06-01,Canada,104.97433926817811
2001-07-01,Canada,104.97433926817811
2001-08-01,Canada,104.97433926817811
2001-09-01,Canada,105.16169249818539
2001-10-01,Canada,105.16169249818539
2001-11-01,Canada,105.16169249818539
2001-12-01,Canada,107.52247982579735
2002-01-01,Canada,107.52247982579735
2002-02-01,Canada,107.52247982579735
2002-03-01,Canada,111.47995388753682
2002-04-01,Canada,111.47995388753682
2002-05-01,Canada,111.47995388753682
2002-06-01,Canada,114.15891721104991
2002-07-01,Canada,114.15891721104991
2002-08-01,Canada,114.15891721104991
2002-09-01,Canada,111.99880449169551
2002-10-01,Canada,111.99880449169551
2002-11-01,Canada,111.99880449169551
2002-12-01,Canada,114.98330558046197
2003-01-01,Canada,114.98330558046197
2003-02-01,Canada,114.98330558046197
2003-03-01,Canada,115.89359976089833
2003-04-01,Canada,115.89359976089833
2003-05-01,Canada,115.89359976089833
2003-06-01,Canada,119.90470090944024
2003-07-01,Canada,119.90470090944024
2003-08-01,Canada,119.90470090944024
2003-09-01,Canada,121.97105162034072
2003-10-01,Canada,121.97105162034072
2003-11-01,Canada,121.97105162034072
2003-12-01,Canada,125.34716707228554
2004-01-01,Canada,125.34716707228554
2004-02-01,Canada,125.34716707228554
2004-03-01,Canada,126.81542205712822
2004-04-01,Canada,126.81542205712822
2004-05-01,Canada,126.81542205712822
2004-06-01,Canada,131.1983262883737
2004-07-01,Canada,131.1983262883737
2004-08-01,Canada,131.1983262883737
2004-09-01,Canada,127.87054352931129
2004-10-01,Canada,127.87054352931129
2004-11-01,Canada,127.87054352931129
2004-12-01,Canada,132.18786559070918
2005-01-01,Canada,132.18786559070918
2005-02-01,Canada,132.18786559070918
2005-03-01,Canada,136.52909781819733
2005-04-01,Canada,136.52909781819733
2005-05-01,Canada,136.52909781819733
2005-06-01,Canada,138.7684556594509
2005-07-01,Canada,138.7684556594509
2005-08-01,Canada,138.7684556594509
2005-09-01,Canada,139.95098415951497
2005-10-01,Canada,139.95098415951497
2005-11-01,Canada,139.95098415951497
2005-12-01,Canada,141.71862858118783
2006-01-01,Canada,141.71862858118783
2006-02-01,Canada,141.71862858118783
2006-03-01,Canada,146.2923017804534
2006-04-01,Canada,146.2923017804534
2006-05-01,Canada,146.2923017804534
2006-06-01,Canada,151.59728448827974
2006-07-01,Canada,151.59728448827974
2006-08-01,Canada,151.59728448827974
2006-09-01,Canada,155.41300542248408
2006-10-01,Canada,155.41300542248408
2006-11-01,Canada,155.41300542248408
2006-12-01,Canada,156.80218607232825
2007-01-01,Canada,156.80218607232825
2007-02-01,Canada,156.80218607232825
2007-03-01,Canada,160.1217710601597
2007-04-01,Canada,160.1217710601597
2007-05-01,Canada,160.1217710601597
2007-06-01,Canada,164.6717048802357
2007-07-01,Canada,164.6717048802357
2007-08-01,Canada,164.6717048802357
2007-09-01,Canada,168.1156227317365
2007-10-01,Canada,168.1156227317365
2007-11-01,Canada,168.1156227317365
2007-12-01,Canada,168.67614533965246
2008-01-01,Canada,168.67614533965246
2008-02-01,Canada,168.67614533965246
2008-03-01,Canada,170.66837453567308
2008-04-01,Canada,170.66837453567308
2008-05-01,Canada,170.66837453567308
2008-06-01,Canada,168.48640109303616
2008-07-01,Canada,168.48640109303616
2008-08-01,Canada,168.48640109303616
2008-09-01,Canada,163.40890653686864
2008-10-01,Canada,163.40890653686864
2008-11-01,Canada,163.40890653686864
2008-12-01,Canada,159.38380086247383
2009-01-01,Canada,159.38380086247383
2009-02-01,Canada,159.38380086247383
2009-03-01,Canada,154.87383117714873
2009-04-01,Canada,154.87383117714873
2009-05-01,Canada,154.87383117714873
2009-06-01,Canada,157.0544383245805
2009-07-01,Canada,157.0544383245805
2009-08-01,Canada,157.0544383245805
2009-09-01,Canada,162.34558729345457
2009-10-01,Canada,162.34558729345457
2009-11-01,Canada,162.34558729345457
2009-12-01,Canada,166.70628922761622
2010-01-01,Canada,166.70628922761622
2010-02-01,Canada,166.70628922761622
2010-03-01,Canada,171.20327910849235
2010-04-01,Canada,171.20327910849235
2010-05-01,Canada,171.20327910849235
2010-06-01,Canada,173.07049229324113
2010-07-01,Canada,173.07049229324113
2010-08-01,Canada,173.07049229324113
2010-09-01,Canada,170.29947483028053
2010-10-01,Canada,170.29947483028053
2010-11-01,Canada,170.29947483028053
2010-12-01,Canada,168.6040732675804
2011-01-01,Canada,168.6040732675804
2011-02-01,Canada,168.6040732675804
2011-03-01,Canada,171.8063276546689
2011-04-01,Canada,171.8063276546689
2011-05-01,Canada,171.8063276546689
2011-06-01,Canada,175.1735621877802
2011-07-01,Canada,175.1735621877802
2011-08-01,Canada,175.1735621877802
2011-09-01,Canada,177.20592630545235
2011-10-01,Canada,177.20592630545235
2011-11-01,Canada,177.20592630545235
2011-12-01,Canada,177.0711754408437
2012-01-01,Canada,177.0711754408437
2012-02-01,Canada,177.0711754408437
2012-03-01,Canada,180.24610392382905
2012-04-01,Canada,180.24610392382905
2012-05-01,Canada,180.24610392382905
2012-06-01,Canada,182.6229452201016
2012-07-01,Canada,182.6229452201016
2012-08-01,Canada,182.6229452201016
2012-09-01,Canada,181.16510823619828
2012-10-01,Canada,181.16510823619828
2012-11-01,Canada,181.16510823619828
2012-12-01,Canada,178.8213995986508
2013-01-01,Canada,178.8213995986508
2013-02-01,Canada,178.8213995986508
2013-03-01,Canada,180.14175312753514
2013-04-01,Canada,180.14175312753514
2013-05-01,Canada,180.14175312753514
2013-06-01,Canada,182.86136373340165
2013-07-01,Canada,182.86136373340165
2013-08-01,Canada,182.86136373340165
2013-09-01,Canada,183.5081337261432
2013-10-01,Canada,183.5081337261432
2013-11-01,Canada,183.5081337261432
2013-12-01,Canada,184.48691345373808
2014-01-01,Canada,184.48691345373808
2014-02-01,Canada,184.48691345373808
2014-03-01,Canada,186.76281969172962
2014-04-01,Canada,186.76281969172962
2014-05-01,Canada,186.76281969172962
2014-06-01,Canada,188.76410059348447
2014-07-01,Canada,188.76410059348447
2014-08-01,Canada,188.76410059348447
2014-09-01,Canada,189.63545536057381
2014-10-01,Canada,189.63545536057381
2014-11-01,Canada,189.63545536057381
2014-12-01,Canada,191.02531915802058
2015-01-01,Canada,191.02531915802058
2015-02-01,Canada,191.02531915802058
2015-03-01,Canada,196.16071047350667
2015-04-01,Canada,196.16071047350667
2015-05-01,Canada,196.16071047350667
2015-06-01,Canada,200.58392041330427
2015-07-01,Canada,200.58392041330427
2015-08-01,Canada,200.58392041330427
2015-09-01,Canada,203.54912258229794
2015-10-01,Canada,203.54912258229794
2015-11-01,Canada,203.54912258229794
2015-12-01,Canada,206.39084582212544
2016-01-01,Canada,206.39084582212544
2016-02-01,Canada,206.39084582212544
2016-03-01,Canada,216.72584432774005
2016-04-01,Canada,216.72584432774005
2016-05-01,Canada,216.72584432774005
2016-06-01,Canada,227.77934332436703
2016-07-01,Canada,227.77934332436703
2016-08-01,Canada,227.77934332436703
2016-09-01,Canada,234.30852653601465
2016-10-01,Canada,234.30852653601465
2016-11-01,Canada,234.30852653601465
2016-12-01,Canada,236.15353742367958
2017-01-01,Canada,236.15353742367958
2017-02-01,Canada,236.15353742367958
2017-03-01,Canada,250.06498441569528
2017-04-01,Canada,250.06498441569528
2017-05-01,Canada,250.06498441569528
2017-06-01,Canada,262.7341274924213
2017-07-01,Canada,262.7341274924213
2017-08-01,Canada,262.7341274924213
2017-09-01,Canada,265.8508176422868
2017-10-01,Canada,265.8508176422868
2017-11-01,Canada,265.8508176422868
2017-12-01,Canada,264.19281841082784
2018-01-01,Canada,264.19281841082784
2018-02-01,Canada,264.19281841082784
2018-03-01,Canada,263.26288373681734
2018-04-01,Canada,263.26288373681734
2018-05-01,Canada,263.26288373681734
2018-06-01,Canada,264.47068869817684
2018-07-01,Canada,264.47068869817684
2018-08-01,Canada,264.47068869817684
2018-09-01,Canada,263.7284488279749
2018-10-01,Canada,263.7284488279749
2018-11-01,Canada,263.7284488279749
2018-12-01,Canada,263.5002775287135
2019-01-01,Canada,263.5002775287135
2019-02-01,Canada,263.5002775287135
2019-03-01,Canada,260.6039024806797
2019-04-01,Canada,260.6039024806797
2019-05-01,Canada,260.6039024806797
2019-06-01,Canada,259.40719866786213
2019-07-01,Canada,259.40719866786213
2019-08-01,Canada,259.40719866786213
2019-09-01,Canada,259.208744289313
2019-10-01,Canada,259.208744289313
2019-11-01,Canada,259.208744289313
2019-12-01,Canada,262.329020964092
2020-01-01,Canada,262.329020964092
2020-02-01,Canada,262.329020964092
2020-03-01,Canada,266.89705819563636
2020-04-01,Canada,266.89705819563636
2020-05-01,Canada,266.89705819563636
2020-06-01,Canada,274.0564450706631
2020-07-01,Canada,274.0564450706631
2020-08-01,Canada,274.0564450706631
2020-09-01,Canada,276.3779514111268
2020-10-01,Canada,276.3779514111268
2020-11-01,Canada,276.3779514111268
2020-12-01,Canada,282.0473933649289
2021-01-01,Canada,282.0473933649289
2021-02-01,Canada,282.0473933649289
2021-03-01,Canada,286.1256137654242
2021-04-01,Canada,286.1256137654242
2021-05-01,Canada,286.1256137654242
2021-06-01,Canada,300.88467614533965
2021-07-01,Canada,300.88467614533965
2021-08-01,Canada,300.88467614533965
2021-09-01,Canada,303.7347679432988
2021-10-01,Canada,303.7347679432988
2021-11-01,Canada,303.7347679432988
2021-12-01,Canada,306.84906707655523
2022-01-01,Canada,306.84906707655523
2022-02-01,Canada,306.84906707655523
2022-03-01,Canada,339.1947397634601
2022-04-01,Canada,339.1947397634601
2022-05-01,Canada,339.1947397634601
2022-06-01,Canada,320.5127022757355
2022-07-01,Canada,320.5127022757355
2022-08-01,Canada,320.5127022757355
2022-09-01,Canada,289.0600742923018
2022-10-01,Canada,289.0600742923018
2022-11-01,Canada,289.0600742923018
2022-12-01,Canada,274.22467016779814
2023-01-01,Canada,274.22467016779814
2023-02-01,Canada,274.22467016779814
2023-03-01,Canada,272.7507792152342
2023-04-01,Canada,272.7507792152342
2023-05-01,Canada,272.7507792152342
2023-06-01,Canada,282.28325007471926
2023-07-01,Canada,282.28325007471926
2023-08-01,Canada,282.28325007471926
2023-09-01,Canada,277.8948806626532
2023-10-01,Canada,277.8948806626532
2023-11-01,Canada,277.8948806626532
2023-12-01,Canada,266.93411895307634
2024-01-01,Canada,266.93411895307634
2024-02-01,Canada,266.93411895307634
2024-03-01,Canada,267.14674864437893
2024-04-01,Canada,267.14674864437893
2024-05-01,Canada,267.14674864437893
2024-06-01,Canada,267.0762136544127
2024-07-01,Canada,267.0762136544127
2024-08-01,Canada,267.0762136544127
2024-09-01,Canada,261.3808120917125
2024-10-01,Canada,261.3808120917125
2024-11-01,Canada,261.3808120917125
2024-12-01,Canada,257.13931941420094
2025-01-01,Canada,257.13931941420094
2025-02-01,Canada,257.13931941420094
2025-03-01,Canada,257.28687929635794
2025-04-01,Canada,257.28687929635794
2025-05-01,Canada,257.28687929635794
2025-06-01,Canada,254.7816062508006
2025-07-01,Canada,254.7816062508006
2025-08-01,Canada,254.7816062508006
2025-09-01,Canada,248.12211263396097
2025-10-01,Canada,248.12211263396097
2025-11-01,Canada,248.12211263396097
2025-12-01,Canada,242.9773280389394
1999-02-01,TSX,100.0
1999-03-01,TSX,104.06187388983284
1999-04-01,TSX,110.03926790224253
1999-05-01,TSX,107.09543606116256
1999-06-01,TSX,109.49362198638543
1999-07-01,TSX,110.36344189930867
1999-08-01,TSX,108.41298485872683
1999-09-01,TSX,107.86242331460703
1999-10-01,TSX,112.36989539086888
1999-11-01,TSX,116.62914225684516
1999-12-01,TSX,130.2965499627481
2000-01-01,TSX,131.6196998343633
2000-02-01,TSX,140.77123041288476
2000-03-01,TSX,144.8349215522202
2000-04-01,TSX,143.53196625631557
2000-05-01,TSX,141.46523801359635
2000-06-01,TSX,154.9121495875886
2000-07-01,TSX,157.61993923307932
2000-08-01,TSX,170.5453300017733
2000-09-01,TSX,156.69906923504072
2000-10-01,TSX,145.24896580186697
2000-11-01,TSX,132.48504501802717
2000-12-01,TSX,134.05567794761956
2001-01-01,TSX,140.46187957056554
2001-02-01,TSX,121.10064232315625
2001-03-01,TSX,113.69244256551336
2001-04-01,TSX,117.90244763509973
2001-05-01,TSX,120.11428971334422
2001-06-01,TSX,113.73708319837516
2001-07-01,TSX,113.39518696405142
2001-08-01,TSX,109.11136551288207
2001-09-01,TSX,100.63999578942105
2001-10-01,TSX,101.84961994401623
2001-11-01,TSX,110.85402273201824
2001-12-01,TSX,114.54004149062436
2002-01-01,TSX,113.71212520583668
2002-02-01,TSX,112.85480596335766
2002-03-01,TSX,115.19580562738992
2002-04-01,TSX,111.75802977693606
2002-05-01,TSX,111.42759626798085
2002-06-01,TSX,103.78952780144029
2002-07-01,TSX,95.37035149942935
2002-08-01,TSX,95.08718741710021
2002-09-01,TSX,88.88034681074505
2002-10-01,TSX,89.59761209146679
2002-11-01,TSX,93.93038242323453
2002-12-01,TSX,94.93496358282475
2003-01-01,TSX,93.45713605035849
2003-02-01,TSX,92.52658420222491
2003-03-01,TSX,89.27644927196091
2003-04-01,TSX,93.32729680841794
2003-05-01,TSX,97.11088487126415
2003-06-01,TSX,98.8563835891024
2003-07-01,TSX,102.6464519634929
2003-08-01,TSX,105.90640679101809
2003-09-01,TSX,104.44555005945631
2003-10-01,TSX,109.7132585358932
2003-11-01,TSX,110.61424265099389
2003-12-01,TSX,115.58992742942335
2004-01-01,TSX,119.69911880797896
2004-02-01,TSX,123.21248883375885
2004-03-01,TSX,119.90867425494656
2004-04-01,TSX,114.91258027993428
2004-05-01,TSX,116.32252745221838
2004-06-01,TSX,117.98319901748513
2004-07-01,TSX,116.88636135620787
2004-08-01,TSX,115.9865300012564
2004-09-01,TSX,119.79121151842804
2004-10-01,TSX,122.35935031324685
2004-11-01,TSX,124.08205128574383
2004-12-01,TSX,127.29943604244195
2005-01-01,TSX,126.83329649868003
2005-02-01,TSX,132.72583107570432
2005-03-01,TSX,131.2136127322721
2005-04-01,TSX,127.53525747895982
2005-05-01,TSX,130.65235907638856
2005-06-01,TSX,134.4189893350988
2005-07-01,TSX,141.2145424330012
2005-08-01,TSX,144.00961958930336
2005-09-01,TSX,147.40402949200336
2005-10-01,TSX,139.63499709377066
2005-11-01,TSX,145.83320334673678
2005-12-01,TSX,152.0129510564147
2006-01-01,TSX,160.19945357343337
2006-02-01,TSX,157.0391433142712
2006-03-01,TSX,161.8140238854931
2006-04-01,TSX,162.16868710096648
2006-05-01,TSX,155.34891615445125
2006-06-01,TSX,153.88875639764527
2006-07-01,TSX,156.63586982978003
2006-08-01,TSX,159.55924049714682
2006-09-01,TSX,156.28345812102364
2006-10-01,TSX,164.33529438180759
2006-11-01,TSX,169.4531362470596
2006-12-01,TSX,171.21247904278388
2007-01-01,TSX,172.87971964701669
2007-02-01,TSX,171.76821868927433
2007-03-01,TSX,171.95057063328272
2007-04-01,TSX,174.4463300442364
2007-05-01,TSX,181.95381930259754
2007-06-01,TSX,180.33133570066204
2007-07-01,TSX,179.6780073728923
2007-08-01,TSX,177.45724932242499
2007-09-01,TSX,182.8249513835203
2007-10-01,TSX,190.1568624845869
2007-11-01,TSX,177.51094354766315
2007-12-01,TSX,179.21807852198174
2008-01-01,TSX,170.7389762857865
2008-02-01,TSX,175.66028158102586
2008-03-01,TSX,172.03881847360566
2008-04-01,TSX,178.1778693939753
2008-05-01,TSX,186.3146982767308
2008-06-01,TSX,181.90850119504077
2008-07-01,TSX,170.32715227435943
2008-08-01,TSX,172.86116201299703
2008-09-01,TSX,147.39814057458548
2008-10-01,TSX,123.72265433174393
2008-11-01,TSX,117.89693680811799
2008-12-01,TSX,115.10626996327653
2009-01-01,TSX,111.65199076843409
2009-02-01,TSX,103.57489795934845
2009-03-01,TSX,110.99716277879261
2009-04-01,TSX,118.79444273694236
2009-05-01,TSX,131.1897333655827
2009-06-01,TSX,130.79433035692102
2009-07-01,TSX,136.4663688644481
2009-08-01,TSX,137.49108110469768
2009-09-01,TSX,144.15550589683937
2009-10-01,TSX,138.15044886798603
2009-11-01,TSX,144.18733487871893
2009-12-01,TSX,148.46775061985824
2010-01-01,TSX,139.86366512243868
2010-02-01,TSX,145.97795195416194
2010-03-01,TSX,151.10053589449467
2010-04-01,TSX,152.7435552741791
2010-05-01,TSX,146.76371797201836
2010-06-01,TSX,141.03839575696747
2010-07-01,TSX,145.51925223147683
2010-08-01,TSX,148.1369563775281
2010-09-01,TSX,153.52880433855395
