start_year,holding_period,end_year,start_date,end_date,scenario_label
1990,5,1995,1990-01-01,1995-12-01,1990 + 5Y (1995)
1990,10,2000,1990-01-01,2000-12-01,1990 + 10Y (2000)
1990,15,2005,1990-01-01,2005-12-01,1990 + 15Y (2005)
1990,20,2010,1990-01-01,2010-12-01,1990 + 20Y (2010)
1990,25,2015,1990-01-01,2015-12-01,1990 + 25Y (2015)
1990,30,2020,1990-01-01,2020-12-01,1990 + 30Y (2020)
1990,35,2025,1990-01-01,2025-12-01,1990 + 35Y (2025)
1995,5,2000,1995-01-01,2000-12-01,1995 + 5Y (2000)
1995,10,2005,1995-01-01,2005-12-01,1995 + 10Y (2005)
1995,15,2010,1995-01-01,2010-12-01,1995 + 15Y (2010)
1995,20,2015,1995-01-01,2015-12-01,1995 + 20Y (2015)
1995,25,2020,1995-01-01,2020-12-01,1995 + 25Y (2020)
1995,30,2025,1995-01-01,2025-12-01,1995 + 30Y (2025)
2000,5,2005,2000-01-01,2005-12-01,2000 + 5Y (2005)
2000,10,2010,2000-01-01,2010-12-01,2000 + 10Y (2010)
2000,15,2015,2000-01-01,2015-12-01,2000 + 15Y (2015)
2000,20,2020,2000-01-01,2020-12-01,2000 + 20Y (2020)
2000,25,2025,2000-01-01,2025-12-01,2000 + 25Y (2025)
2005,5,2010,2005-01-01,2010-12-01,2005 + 5Y (2010)
2005,10,2015,2005-01-01,2015-12-01,2005 + 10Y (2015)
2005,15,2020,2005-01-01,2020-12-01,2005 + 15Y (2020)
2005,20,2025,2005-01-01,2025-12-01,2005 + 20Y (2025)
2010,5,2015,2010-01-01,2015-12-01,2010 + 5Y (2015)
2010,10,2020,2010-01-01,2020-12-01,2010 + 10Y (2020)
2010,15,2025,2010-01-01,2025-12-01,2010 + 15Y (2025)
2015,5,2020,2015-01-01,2020-12-01,2015 + 5Y (2020)
2015,10,2025,2015-01-01,2025-12-01,2015 + 10Y (2025)
2020,5,2025,2020-01-01,2025-12-01,2020 + 5Y (2025)
