date,index_value
1970-03-31,6.617
1970-06-30,6.617
1970-09-30,6.6716
1970-12-31,6.8626
1971-03-31,6.9172
1971-06-30,6.999
1971-09-30,6.9717
1971-12-31,7.3265
1972-03-31,7.4856
1972-06-30,7.4856
1972-09-30,7.5948
1972-12-31,7.9495
1973-03-31,8.3588
1973-06-30,8.7954
1973-09-30,9.4503
1973-12-31,10.3462
1974-03-31,11.4377
1974-06-30,11.9516
1974-09-30,11.8424
1974-12-31,11.8697
1975-03-31,12.4973
1975-06-30,12.9066
1975-09-30,13.3159
1975-12-31,13.8616
1976-03-31,14.4574
1976-06-30,14.6211
1976-09-30,14.6484
1976-12-31,15.1941
1977-03-31,15.3306
1977-06-30,15.3851
1977-09-30,15.3306
1977-12-31,15.7671
1978-03-31,15.7126
1978-06-30,16.1719
1978-09-30,16.1446
1978-12-31,16.9086
1979-03-31,17.4816
1979-06-30,17.8637
1979-09-30,17.7818
1979-12-31,18.5686
1980-03-31,18.8414
1980-06-30,19.6055
1980-09-30,20.4104
1980-12-31,21.702
1981-03-31,22.5297
1981-06-30,22.7025
1981-09-30,23.2801
1981-12-31,23.612
1982-03-31,22.6525
1982-06-30,21.702
1982-09-30,21.2927
1982-12-31,21.752
1983-03-31,23.2391
1983-06-30,23.2255
1983-09-30,22.9299
1983-12-31,23.0117
1984-03-31,22.989
1984-06-30,23.1209
1984-09-30,22.6934
1984-12-31,22.9754
1985-03-31,23.4574
1985-06-30,24.0032
1985-09-30,24.1214
1985-12-31,25.1446
1986-03-31,26.609
1986-06-30,27.9506
1986-09-30,28.4281
1986-12-31,30.3882
1987-03-31,32.9486
1987-06-30,32.553
1987-09-30,32.553
1987-12-31,34.3357
1988-03-31,37.5146
1988-06-30,38.315
1988-09-30,38.697
1988-12-31,41.8441
1989-03-31,46.0462
1989-06-30,42.076
1989-09-30,43.0674
1989-12-31,45.5323
1990-03-31,44.7183
1990-06-30,41.7258
1990-09-30,41.9487
1990-12-31,42.2852
1991-03-31,44.3272
1991-06-30,45.9007
1991-09-30,43.3176
1991-12-31,43.8406
1992-03-31,44.5682
1992-06-30,44.9138
1992-09-30,45.023
1992-12-31,45.9962
1993-03-31,46.3919
1993-06-30,46.3919
1993-09-30,45.3686
1993-12-31,45.928
1994-03-31,47.9927
1994-06-30,47.5925
1994-09-30,46.8421
1994-12-31,47.4015
1995-03-31,46.1235
1995-06-30,44.9502
1995-09-30,45.3823
1995-12-31,45.455
1996-03-31,44.9047
1996-06-30,45.8689
1996-09-30,45.2367
1996-12-31,45.4959
1997-03-31,46.0326
1997-06-30,47.1923
1997-09-30,46.3691
1997-12-31,46.31
1998-03-31,45.878
1998-06-30,46.2736
1998-09-30,45.355
1998-12-31,46.0007
1999-03-31,46.2327
1999-06-30,48.0427
1999-09-30,47.6243
1999-12-31,48.3156
2000-03-31,48.552
2000-06-30,49.498
2000-09-30,49.3934
2000-12-31,49.9118
2001-03-31,49.7754
2001-06-30,51.9129
2001-09-30,52.0584
2001-12-31,52.7406
2002-03-31,55.0554
2002-06-30,57.2201
2002-09-30,56.738
2002-12-31,58.539
2003-03-31,59.7987
2003-06-30,61.7679
2003-09-30,63.0776
2003-12-31,64.9286
2004-03-31,66.0292
2004-06-30,69.0807
2004-09-30,67.4572
2004-12-31,70.0448
2005-03-31,72.5968
2005-06-30,74.462
2005-09-30,75.7532
2005-12-31,76.7575
2006-03-31,79.627
2006-06-30,83.429
2006-09-30,85.5811
2006-12-31,86.0832
2007-03-31,88.7374
2007-06-30,92.6112
2007-09-30,94.5481
2007-12-31,94.835
2008-03-31,96.2697
2008-06-30,96.9871
2008-09-30,95.0502
2008-12-31,91.3199
2009-03-31,88.4505
2009-06-30,90.4591
2009-09-30,93.6155
2009-12-31,96.2697
2010-03-31,99.3544
2010-06-30,101.076
2010-09-30,100
2010-12-31,99.5696
2011-03-31,102.2956
2011-06-30,105.7389
2011-09-30,107.1736
2011-12-31,107.3888
2012-03-31,109.8278
2012-06-30,111.9799
2012-09-30,110.9039
2012-12-31,109.4692
2013-03-31,110.7604
2013-06-30,112.9842
2013-09-30,113.6298
2013-12-31,113.9885
2014-03-31,116.4275
2014-06-30,119.2253
2014-09-30,119.8709
2014-12-31,120.3013
2015-03-31,123.6011
2015-06-30,127.8336
2015-09-30,130.2009
2015-12-31,131.7073
2016-03-31,138.6657
2016-06-30,147.4175
2016-09-30,151.7217
2016-12-31,152.7977
2017-03-31,163.056
2017-06-30,172.2855
2017-09-30,174.5075
2017-12-31,173.9947
2018-03-31,175.1911
2018-06-30,177.4131
2018-09-30,177.7549
2018-12-31,177.0712
2019-03-31,176.2167
2019-06-30,177.7549
2019-09-30,178.0968
2019-12-31,179.9769
2020-03-31,183.7371
2020-06-30,187.8391
2020-09-30,190.4029
2020-12-31,195.0177
2021-03-31,199.8034
2021-06-30,213.135
2021-09-30,217.7498
2021-12-31,222.1936
2022-03-31,250.6746
2022-06-30,244.1727
2022-09-30,222.0523
2022-12-31,211.8048
2023-03-31,211.9462
2023-06-30,222.6177
2023-09-30,221.3456
2023-12-31,212.7942
2024-03-31,213.501
2024-06-30,216.3985
2024-09-30,212.4409
2024-12-31,208.9073
2025-03-31,210.3207
2025-06-30,210.1087
2025-09-30,205.6563
2025-12-31,201.84
