date,bc_vancouver,ab_calgary,ab_edmonton,on_toronto,on_ottawa,qc_montreal
1990-06-01,56.92,,,,,59.04
1990-07-01,54.67,,,,,57.87
1990-08-01,54.55,,,,,58
1990-09-01,54.79,,,,,58.23
1990-10-01,54.1,,,,,57.06
1990-11-01,53.75,,,,,55.9
1990-12-01,58.66,,,,,57.12
1991-01-01,52.67,,,,,56.99
1991-02-01,52.25,,,,,56.42
1991-03-01,52.9,,,,,56.62
1991-04-01,54.08,,,,,58.26
1991-05-01,55.22,,,,,57.86
1991-06-01,55.78,,,,,58.44
1991-07-01,56.44,,,,,57.37
1991-08-01,57.6,,,,,57.58
1991-09-01,57.98,,,,,56.33
1991-10-01,58.02,,,,,56.77
1991-11-01,57.43,,,,,57.22
1991-12-01,58.36,,,,,57.06
1992-01-01,58.99,,,,,55.7
1992-02-01,59.12,,,,,56.59
1992-03-01,59.83,,,,,57.98
1992-04-01,60.39,,,,,57.69
1992-05-01,61.21,,,,,57.78
1992-06-01,61.38,,,,,57.6
1992-07-01,61.9,,,,,56.99
1992-08-01,62.2,,,,,55.96
1992-09-01,62.91,,,,,56.61
1992-10-01,63.05,,,,,56.65
1992-11-01,64.17,,,,,55.95
1992-12-01,64.61,,,,,56.93
1993-01-01,64.99,,,,,54.86
1993-02-01,65.83,,,,,56.83
1993-03-01,65.84,,,,,56.75
1993-04-01,67.04,,,,,57.16
1993-05-01,67.98,,,,,57.3
1993-06-01,67.28,,,,,57.82
1993-07-01,68.41,,,,,57.37
1993-08-01,68.25,,,,,56.51
1993-09-01,68.45,,,,,56.14
1993-10-01,68.57,,,,,56.34
1993-11-01,68.46,,,,,56.01
1993-12-01,68.61,,,,,56.75
1994-01-01,68.83,,,,,56.76
1994-02-01,68.98,,,,,56.84
1994-03-01,69.75,,,,,57.01
1994-04-01,70.2,,,,,57.81
1994-05-01,70.19,,,,,58.25
1994-06-01,70.49,,,,,58.09
1994-07-01,70.67,,,,,57.18
