Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,216200,237300,207900,262900,164000,133900
2005-02-01,215700,236600,207800,262100,163700,134200
2005-03-01,215600,236600,208000,261800,162900,134500
2005-04-01,215000,236200,207900,261100,162300,133700
2005-05-01,214000,235600,207600,260000,160600,133200
2005-06-01,214800,236600,208000,261400,161200,133000
2005-07-01,216700,239300,210200,264300,161700,134400
2005-08-01,220300,243600,214000,269100,164000,135600
2005-09-01,225400,249500,219000,275600,167500,137700
2005-10-01,232300,257800,225800,285100,172000,140400
2005-11-01,240300,266800,233500,295000,177800,144700
2005-12-01,247500,274200,239700,303700,184000,150000
2006-01-01,258300,287100,249800,319000,190700,155700
2006-02-01,269200,299000,259100,333000,199500,163000
2006-03-01,280500,311400,269000,347400,208200,172200
2006-04-01,293700,325900,281000,364100,219500,180400
2006-05-01,308400,341400,294100,381600,233400,194100
2006-06-01,323200,356800,308400,398100,247600,207700
2006-07-01,334500,369000,318800,411900,258400,217300
2006-08-01,344000,379000,328700,422200,266900,225800
2006-09-01,349600,384200,332600,428400,273400,233900
2006-10-01,353300,387700,336900,431200,279100,237600
2006-11-01,356300,390900,338400,435700,282000,240800
2006-12-01,361500,396100,345200,439800,286700,243200
2007-01-01,365700,401100,350700,444000,291800,247600
2007-02-01,370700,406900,355900,449800,295000,251900
2007-03-01,376100,412800,362000,455400,300600,255100
2007-04-01,379800,416800,364500,460000,303700,258200
2007-05-01,383700,421300,369400,464300,307200,261700
2007-06-01,385800,423400,371700,466100,310300,263200
2007-07-01,388400,426400,373500,469900,313400,264700
2007-08-01,389400,427300,373500,471600,314600,265900
2007-09-01,391000,429400,376100,473200,315600,265600
2007-10-01,390400,428500,375000,472400,315100,266300
2007-11-01,389400,426800,375000,469600,315600,267200
2007-12-01,387000,423900,372000,466300,314400,266200
2008-01-01,387100,424100,369600,468300,314100,267300
2008-02-01,384100,421200,367700,464400,312300,264100
2008-03-01,380200,416800,363200,460000,310200,260900
2008-04-01,376000,412100,360200,453400,307000,259100
2008-05-01,370100,405400,353100,447200,302700,255100
2008-06-01,365300,400200,348300,441800,298200,251200
2008-07-01,360600,395400,344000,436400,294300,245900
2008-08-01,359300,394400,343300,435000,291900,243100
2008-09-01,358200,393800,341600,434900,291000,239400
2008-10-01,355800,391100,338700,432200,289700,238200
2008-11-01,353300,388500,335100,431000,288000,235400
2008-12-01,349000,383100,332600,422900,285000,233300
2009-01-01,340800,374000,322700,413900,280300,229000
2009-02-01,336000,368500,318000,407600,278200,225600
2009-03-01,331200,363700,314500,401600,270900,222300
2009-04-01,328300,360700,313100,396400,267400,219400
2009-05-01,328700,362200,313500,398700,264000,216500
2009-06-01,332000,366000,314500,404400,265900,217300
