Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,236900,255300,201000,299000,197900,174600
2005-02-01,237600,255900,201600,299600,198500,175700
2005-03-01,238500,256900,202400,300800,199100,176400
2005-04-01,239300,257800,203300,301400,199500,177200
2005-05-01,239800,258300,203800,302000,199800,178000
2005-06-01,241100,259700,204800,303800,200700,179200
2005-07-01,243000,261600,206700,305800,202800,180400
2005-08-01,245100,264100,208900,308400,204400,181300
2005-09-01,247300,266200,211000,310500,206500,185000
2005-10-01,250000,269400,213500,314200,208600,185900
2005-11-01,252500,271900,216000,316800,211000,187900
2005-12-01,255000,274700,218300,320000,212900,190000
2006-01-01,258000,277700,220800,323300,215900,192200
2006-02-01,260400,280100,223300,325800,218700,194400
2006-03-01,263000,283000,225800,329100,220700,196200
2006-04-01,265900,286100,228500,332300,223800,198400
2006-05-01,268900,289100,231600,335300,226900,201000
2006-06-01,271700,291900,234300,338100,230400,203400
2006-07-01,274200,294500,237000,340700,233200,205900
2006-08-01,276800,297000,239400,343300,236400,208400
2006-09-01,279600,299700,242000,346200,238900,211500
2006-10-01,280900,301000,243600,347100,241400,212500
2006-11-01,282900,303200,245900,349300,243100,213700
2006-12-01,285100,305400,248600,351100,245700,215400
2007-01-01,287300,307700,250900,353400,247400,217600
2007-02-01,290500,311500,253800,357700,249700,219400
2007-03-01,293200,314100,256300,360200,252700,222000
2007-04-01,295800,316900,258500,363500,254300,224200
2007-05-01,298800,320100,261800,366800,256800,226500
2007-06-01,301400,322900,264600,369700,259000,228800
2007-07-01,304000,325600,266900,372700,260600,230800
2007-08-01,305900,327500,268600,374800,263000,232900
2007-09-01,307900,329700,270600,377200,263800,234500
2007-10-01,309800,331800,272200,379600,265100,236100
2007-11-01,311400,333300,273700,381200,267100,238500
2007-12-01,313400,335400,274700,384000,268800,239900
2008-01-01,315000,337100,275900,385900,270600,241500
2008-02-01,315600,337700,276700,386500,271000,242000
2008-03-01,315600,337600,276500,386300,271400,242300
2008-04-01,314600,336500,275500,384900,271800,241800
2008-05-01,313100,334700,274000,383000,271300,240800
2008-06-01,311500,333000,272600,381000,270300,239100
2008-07-01,309300,330500,270300,378300,269200,237900
2008-08-01,307500,328700,269000,376000,267600,236400
2008-09-01,305800,326700,267600,373800,266200,234700
2008-10-01,301800,322400,263900,368800,264200,231900
2008-11-01,298800,319300,260600,366000,261700,228800
2008-12-01,295100,315400,258000,361000,256300,226800
2009-01-01,292300,312600,255800,357600,255600,222700
2009-02-01,289600,309300,253100,353900,253800,221200
2009-03-01,287700,307300,250100,352500,252000,220700
2009-04-01,289000,309000,251500,354200,251300,221700
2009-05-01,291500,311700,252900,357900,252000,223700
2009-06-01,295000,315700,255300,362900,253700,226600
2009-07-01,299200,320300,258400,368400,257200,230000
2009-08-01,303300,324800,261300,374200,259900,233000
2009-09-01,307800,329700,264100,380500,263400,236400
2009-10-01,312400,334900,267400,387000,266500,239900
2009-11-01,316400,339100,270200,392300,270000,243400
2009-12-01,320600,344000,273600,398000,273500,246200
2010-01-01,322400,345100,274200,399900,277200,249700
2010-02-01,324600,347800,275400,403400,278100,250300
2010-03-01,326200,349400,276400,405500,280200,251300
2010-04-01,326800,350000,276900,405900,282000,251700
2010-05-01,326300,349500,276200,405500,281700,251300
2010-06-01,325300,348400,275100,404400,281600,250100
2010-07-01,324300,347600,274200,403700,279800,248600
2010-08-01,324200,347600,273900,403900,279400,248000
2010-09-01,324500,347900,273800,404400,279700,248300
2010-10-01,325600,349000,274500,405800,280200,249500
2010-11-01,327100,350900,275000,408700,280300,250500
2010-12-01,328900,352900,276000,411400,282000,251900
2011-01-01,330900,355300,276600,415200,282300,253100
2011-02-01,333800,358600,278800,419000,283900,254600
2011-03-01,336000,361300,280100,422800,284800,255800
2011-04-01,338200,364000,281300,426300,285400,256600
2011-05-01,340800,367200,283200,430600,286800,257200
2011-06-01,343400,370300,284900,434600,286800,258900
2011-07-01,345900,373200,286400,438300,290100,260300
2011-08-01,348000,375500,287100,441700,292000,261300
2011-09-01,349700,377800,288900,444300,292200,261900
2011-10-01,351300,379900,290000,447100,292900,261500
2011-11-01,353100,382000,291600,449200,294300,263000
2011-12-01,354700,384400,293300,452200,293500,263600
2012-01-01,356800,387000,296000,455000,294100,264000
2012-02-01,357900,388300,295400,457500,295500,264100
2012-03-01,359300,390200,296700,459500,296000,264300
2012-04-01,361000,392000,298100,461600,296900,264800
2012-05-01,360800,391900,298900,461100,296900,264400
2012-06-01,360400,391600,298300,461000,296600,264000
2012-07-01,360300,391600,298700,460900,296400,263200
2012-08-01,360100,391400,299200,460200,295500,262900
2012-09-01,359900,391200,298900,460200,294700,262600
2012-10-01,359800,391000,298700,460100,295100,261800
2012-11-01,359600,391100,299300,459600,295100,260600
2012-12-01,361000,392700,300500,461700,296500,260300
2013-01-01,360700,392200,299800,461500,297600,260100
2013-02-01,361200,392700,300000,462200,296700,260400
2013-03-01,361900,393600,300900,463000,296500,261000
2013-04-01,362800,394800,300800,465000,296700,260600
2013-05-01,363800,395800,301400,466200,298000,261800
2013-06-01,365000,397200,302700,467800,298600,261700
2013-07-01,366800,399400,304000,470600,298700,262400
2013-08-01,368500,401500,304300,473600,299500,263200
2013-09-01,370800,404300,307400,476500,301500,263400
2013-10-01,373200,407300,308700,480600,302700,264000
2013-11-01,375700,410100,310500,484100,304300,265000
2013-12-01,377000,411700,311500,486100,305800,265800
2014-01-01,378400,413300,313000,488000,305500,266900
2014-02-01,380300,415400,315300,490200,307500,267200
2014-03-01,381000,416000,314400,491500,309300,267600
2014-04-01,381900,417100,315200,492800,309800,268100
2014-05-01,383300,418900,315900,495600,309900,268100
2014-06-01,385200,421000,317100,498200,311500,269000
2014-07-01,386700,422900,318100,500800,312400,269700
2014-08-01,388900,425400,319200,504300,314700,270900
2014-09-01,391300,428300,320400,508400,316500,272200
2014-10-01,394000,431200,322100,512200,318300,274500
2014-11-01,396600,434100,323200,516400,319400,276700
2014-12-01,399300,437500,325000,520700,320600,277600
2015-01-01,401700,440200,326600,524400,324200,278400
2015-02-01,402900,441900,327800,527000,325100,276600
2015-03-01,404900,444300,327900,530600,325300,279000
2015-04-01,407500,447800,329900,535100,326000,279800
2015-05-01,410200,450900,330900,539600,327800,280800
2015-06-01,414100,456000,333900,546000,329500,281700
2015-07-01,418500,461100,336600,552700,331500,284100
2015-08-01,422900,466400,339900,559200,334300,285900
2015-09-01,426600,470500,342600,564400,337300,289100
2015-10-01,430700,475200,345300,570300,341900,291400
2015-11-01,435100,480300,347300,577700,345300,293000
2015-12-01,439300,485400,350500,583600,348700,295900
2016-01-01,444300,491400,353700,592000,351100,298300
2016-02-01,450600,498800,358100,601900,353900,301400
2016-03-01,457200,507300,363200,612600,358500,303600
2016-04-01,464700,516000,368600,623800,364200,307100
2016-05-01,473200,525900,375200,635900,370900,311200
2016-06-01,481000,534700,380300,647400,377400,317200
2016-07-01,488300,542800,384700,658100,384400,321600
2016-08-01,493100,548100,387600,665100,389500,325100
2016-09-01,498100,553600,390500,672500,394000,329000
2016-10-01,501200,556900,393400,676200,396200,331300
2016-11-01,505200,560600,396800,680100,402300,336200
2016-12-01,508000,563700,397600,684000,403400,340500
2017-01-01,514800,570700,402000,693700,411500,345300
2017-02-01,527300,585400,412100,712100,420700,350600
2017-03-01,541000,601200,422800,731400,428000,362500
2017-04-01,547100,605800,427800,736000,436300,372200
2017-05-01,544800,600900,426200,729000,440500,377700
2017-06-01,540600,593900,422800,719600,443000,382200
2017-07-01,535500,586200,419900,708600,444800,384200
2017-08-01,533900,583100,418800,704100,446500,388400
2017-09-01,533400,581500,419300,701300,448300,391500
2017-10-01,534400,581200,419900,700400,451800,397100
2017-11-01,535600,581800,421100,700700,453200,401000
2017-12-01,536700,582700,423200,699800,455900,404700
2018-01-01,535100,578600,422100,694800,459700,408700
2018-02-01,533300,575900,422800,689800,459700,409600
2018-03-01,532000,573500,421900,686500,463100,412500
2018-04-01,530600,571500,421600,683700,463800,412500
2018-05-01,530300,571000,421000,683300,463700,414200
2018-06-01,529600,569600,419500,682500,465400,414700
2018-07-01,530100,569800,420100,682600,467000,416200
2018-08-01,529600,569300,421100,681200,466000,416700
2018-09-01,529100,568400,420200,680300,468100,417300
2018-10-01,528600,567600,420700,678700,468700,417500
2018-11-01,525900,564600,419200,674800,468400,414900
2018-12-01,524400,562900,417600,672400,467200,415100
2019-01-01,519400,557400,415400,665300,461700,411100
2019-02-01,513500,550600,410700,657300,458200,407500
2019-03-01,510600,547800,409900,653200,455400,404500
2019-04-01,510700,548300,410400,653700,455800,403900
2019-05-01,511400,549400,410800,654900,459000,403900
2019-06-01,514400,552500,414200,658100,460200,405600
2019-07-01,517200,555700,416100,662500,462400,407200
2019-08-01,519500,557700,417700,664800,467700,410000
2019-09-01,522300,560500,420200,668100,471100,413500
2019-10-01,525600,564000,422300,672700,475600,416800
2019-11-01,527800,565400,424200,673800,479100,421400
2019-12-01,529800,566800,425400,675100,482800,424400
2020-01-01,531800,568100,426700,676600,484200,428800
2020-02-01,534200,570400,428000,680000,484600,431200
2020-03-01,535300,571900,427900,682500,483300,432000
2020-04-01,528000,563500,420800,673700,481800,425600
2020-05-01,531900,570000,424300,681700,484200,424100
2020-06-01,542500,583200,436600,695800,491900,423900
2020-07-01,555600,598900,450300,712500,502600,428200
2020-08-01,568300,614300,461200,730300,513400,431800
2020-09-01,577200,625000,471500,741000,521400,434500
2020-10-01,584200,633400,479100,749500,527400,437500
2020-11-01,592900,644600,488100,762000,533500,438700
2020-12-01,602700,656700,497700,775800,540600,440500
2021-01-01,616600,674100,511000,796200,552000,443500
2021-02-01,634600,695800,528200,820500,566200,448300
2021-03-01,654000,718300,546000,844500,580600,457400
2021-04-01,664600,729800,557300,856600,592500,466400
2021-05-01,676200,742000,566900,869400,602300,481100
2021-06-01,685500,753100,576600,882200,610900,480100
2021-07-01,693100,762100,581300,894200,617600,484700
2021-08-01,702600,773600,590200,907000,626100,490100
2021-09-01,716800,790400,600300,929100,638200,497500
2021-10-01,733200,810700,612900,954900,654800,502600
2021-11-01,750300,831100,627900,979200,672300,510600
2021-12-01,766400,850200,643900,1000400,685200,517200
2022-01-01,801800,891500,675600,1049200,710800,536400
2022-02-01,827600,920600,696500,1084400,733600,550600
2022-03-01,826900,916000,690700,1077900,740600,559100
2022-04-01,808700,893600,677400,1051800,731200,555800
2022-05-01,791600,873300,662100,1027300,719300,553000
2022-06-01,770800,847100,641300,998300,703800,544600
2022-07-01,751500,823400,623800,970700,691200,537500
2022-08-01,736800,806600,611000,950800,677600,530500
2022-09-01,726500,795300,601500,938800,668800,523900
2022-10-01,718400,786100,595800,927300,661700,520000
2022-11-01,711500,778100,589300,918400,655000,517900
2022-12-01,703500,769400,581300,909400,645800,512500
2023-01-01,696600,761200,575700,899800,640000,508800
2023-02-01,695000,760300,575500,898800,635600,504900
2023-03-01,698400,765900,580100,902600,636200,502700
2023-04-01,710800,781900,587800,927200,645800,508200
2023-05-01,722400,796900,598000,945300,656400,513900
2023-06-01,731300,806300,606100,956600,665900,521800
2023-07-01,736100,812100,612400,962800,671000,525300
2023-08-01,735400,810400,611400,961200,674100,528400
2023-09-01,730100,803600,608800,952100,673300,528300
2023-10-01,722500,793900,602500,940800,667000,528200
2023-11-01,712600,782400,595600,926100,659300,524200
2023-12-01,706600,775500,591200,917900,653700,520300
2024-01-01,702200,771500,590000,911900,645100,517100
2024-02-01,703700,774700,591700,917000,646200,513900
2024-03-01,705100,777000,592800,919500,647400,513100
2024-04-01,703700,776200,595500,918400,647900,512200
2024-05-01,701900,774900,595400,916900,648100,511000
2024-06-01,703700,777400,598700,920000,649500,510700
2024-07-01,703900,777600,599600,920200,648900,510700
2024-08-01,703300,777100,599800,919900,648300,509200
2024-09-01,702100,776100,600600,917600,644000,508500
2024-10-01,700000,773800,600300,914100,643500,506600
2024-11-01,701300,776200,601900,917000,645700,505100
2024-12-01,700400,775300,604300,913800,644100,504900
2025-01-01,700400,775900,601100,917200,644700,502600
2025-02-01,694900,769800,596600,910100,639500,499100
2025-03-01,690700,765100,595100,901700,635800,496700
2025-04-01,685400,759700,590300,897200,630600,491900
2025-05-01,684500,759400,591400,896100,628200,490300
2025-06-01,681300,755900,589200,892100,624700,486700
2025-07-01,680200,754900,588600,891400,622100,484800
2025-08-01,678600,753200,589000,888200,619200,483100
2025-09-01,677600,752000,587600,887300,619400,481400
2025-10-01,677000,751700,587800,886400,617500,480200
2025-11-01,673800,747600,586400,881000,613700,478700
2025-12-01,671100,745400,582400,879700,610600,475700
2026-01-01,665400,739500,580700,869600,604700,472100
2026-02-01,661900,735800,577900,864500,602200,469300
2026-03-01,659100,733500,575300,861200,601000,465200
