Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,171300,198100,176900,238800,113300,107100
2005-02-01,172200,198800,177100,239000,112600,106500
2005-03-01,171700,198000,176400,238900,111800,105500
2005-04-01,171600,197800,176000,239100,112100,106100
2005-05-01,170600,196500,175100,237100,112500,106500
2005-06-01,170800,196800,175700,236800,111800,106300
2005-07-01,172300,198900,177600,238800,113000,107200
2005-08-01,173000,200100,179500,238500,113200,107500
2005-09-01,174300,202700,181600,242300,113300,107900
2005-10-01,178900,207700,185900,249100,115900,110100
2005-11-01,182700,212300,189700,255400,118700,112700
2005-12-01,186900,216700,193200,259700,121300,115100
2006-01-01,190300,221000,196500,267400,123100,116000
2006-02-01,195000,226600,201800,273100,124700,117000
2006-03-01,198200,230500,205600,277700,126500,117600
2006-04-01,207800,241600,215000,291900,132700,123300
2006-05-01,217300,252800,225700,304400,139500,129200
2006-06-01,227800,265200,236200,320100,145900,134700
2006-07-01,240000,278500,248600,334000,157600,145000
2006-08-01,252300,291500,260600,349900,169300,155500
2006-09-01,263200,302700,270600,363800,181800,166900
2006-10-01,272600,312600,280300,373800,189600,174100
2006-11-01,281500,321800,288900,383300,197900,182000
2006-12-01,291400,332200,299100,392800,206300,189800
2007-01-01,300900,342200,308800,405000,215400,197400
2007-02-01,312200,354300,320100,418200,224700,205200
2007-03-01,323000,365900,331300,431500,234300,212900
2007-04-01,333200,377000,340800,445500,242600,221100
2007-05-01,341500,385600,348100,456900,251300,229200
2007-06-01,349200,392900,354800,465500,260000,237100
2007-07-01,344200,387000,349600,456800,257500,235600
2007-08-01,340500,382900,344800,455200,254200,233700
2007-09-01,335800,377600,341500,446900,250800,231800
2007-10-01,330000,371400,335600,438600,245900,226100
2007-11-01,324300,365400,330200,430500,241300,220900
2007-12-01,321000,362400,327100,427100,236800,216000
2008-01-01,319500,360700,326800,423800,236100,214600
2008-02-01,318200,359300,324800,423500,234800,213400
2008-03-01,315700,356900,322700,419900,233200,211200
2008-04-01,311400,352100,318900,412300,230000,208300
2008-05-01,306400,347000,314400,405600,226400,204600
2008-06-01,301300,341700,309100,399500,223300,201300
2008-07-01,297900,338400,305500,396200,219600,198100
2008-08-01,294700,335300,302700,393200,215800,194900
2008-09-01,292200,333200,300600,390800,212100,191700
2008-10-01,290300,331100,297800,388700,210600,190100
2008-11-01,288100,328800,295300,385600,209300,188300
2008-12-01,285800,325900,293100,381400,208100,187100
2009-01-01,282900,323000,291300,377100,204800,184000
2009-02-01,279300,319000,286200,374700,200100,181600
2009-03-01,274400,314200,280400,371000,195200,177100
2009-04-01,275700,315600,283100,369900,195500,178200
2009-05-01,277100,317900,284900,372600,195200,178200
2009-06-01,280600,322200,289100,375500,195700,179400
2009-07-01,285100,327800,293700,382300,198600,180500
2009-08-01,288900,332200,298400,386600,200800,182300
2009-09-01,292400,336200,301100,391800,203600,183500
2009-10-01,295800,339300,303200,395600,205200,186700
2009-11-01,299900,343900,307900,400200,207200,189600
2009-12-01,302500,346000,309000,403800,209500,192700
2010-01-01,304000,347500,310200,405800,211100,193200
2010-02-01,305800,349800,313400,406200,210400,193600
2010-03-01,307500,351000,313700,408500,210700,194900
2010-04-01,308200,350500,312400,409300,213800,194700
2010-05-01,309100,350000,311100,410200,217400,197500
2010-06-01,307900,347600,309300,405800,217300,198500
2010-07-01,306000,345200,307300,402800,214800,198200
2010-08-01,304000,343100,305700,398900,213100,193700
2010-09-01,302200,340300,303300,395000,213300,194300
2010-10-01,301600,340200,303400,394700,211600,192300
2010-11-01,301400,339300,303400,393000,211600,194100
2010-12-01,302000,340200,302600,396300,212000,192500
2011-01-01,302600,340600,301700,398900,210000,194500
2011-02-01,301800,339700,301000,397300,210500,193600
2011-03-01,304100,342000,304000,398400,213300,196000
2011-04-01,304900,343200,304700,400900,213500,195600
2011-05-01,305400,344000,306500,400700,214600,195200
2011-06-01,305600,345000,306800,402400,211300,193400
2011-07-01,306200,345200,307100,401600,214600,195000
2011-08-01,307000,345800,306700,402400,215100,196100
2011-09-01,308100,347200,307600,405000,214200,195800
2011-10-01,308300,347500,308000,404800,216400,194500
2011-11-01,308700,348200,306800,408400,215600,192900
2011-12-01,308400,348400,309000,405800,212700,191500
2012-01-01,309100,348800,308500,407700,213200,192600
2012-02-01,310400,350300,309400,411100,216300,193200
2012-03-01,309800,350000,309100,410100,214100,191100
2012-04-01,312800,353800,311500,416900,212500,193100
2012-05-01,312500,353200,312600,413300,209400,193600
2012-06-01,313700,354800,313000,416300,211300,194300
2012-07-01,314800,356000,314300,416700,211800,193700
2012-08-01,314700,355100,310900,417800,214200,194300
2012-09-01,316100,357200,313300,419400,213000,193600
2012-10-01,318000,359000,316500,419100,214300,196600
2012-11-01,319000,360700,317500,421700,214700,194100
2012-12-01,320600,362400,318400,424000,213900,195000
2013-01-01,321700,364400,320400,426800,214400,191200
2013-02-01,323200,365800,322900,426800,216100,193300
2013-03-01,323500,365900,322500,427100,215500,195800
2013-04-01,324800,367000,324900,426400,216200,197000
2013-05-01,325900,368200,324300,429100,217100,197400
2013-06-01,327900,370200,327200,429500,219900,197400
2013-07-01,329100,372000,328600,431500,219200,197000
2013-08-01,330900,374300,330900,432900,218800,197300
2013-09-01,332300,376000,333500,433500,220700,198300
2013-10-01,333100,377000,332500,437300,221700,198500
2013-11-01,334000,378100,334300,437400,222000,199500
2013-12-01,336200,380500,335900,440400,224700,201000
2014-01-01,338000,382700,340600,439900,225100,201000
2014-02-01,340400,385500,341900,444700,225500,203600
2014-03-01,343400,389200,344900,449600,227900,204300
2014-04-01,345600,391700,347800,450200,230700,204400
2014-05-01,347100,393100,349000,451300,233300,206000
2014-06-01,347900,394000,348600,453600,233600,207100
2014-07-01,348800,394700,349300,454100,234900,208700
2014-08-01,350300,396500,352600,454300,236300,208400
2014-09-01,350600,396700,351500,455800,237800,210600
2014-10-01,352000,398800,354000,458200,235800,211000
2014-11-01,353300,400300,354900,459400,237500,213900
