Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,187700,196800,158500,241600,188200,160000
2005-02-01,188500,197100,159000,241800,189200,162400
2005-03-01,189000,198700,160300,243900,190200,159600
2005-04-01,190700,200100,161400,245500,192000,161400
2005-05-01,188900,198400,161900,241000,192000,159900
2005-06-01,189900,199500,161200,244600,193500,160900
2005-07-01,190800,200300,162300,244800,197100,161200
2005-08-01,190700,200800,163100,245100,194500,159200
2005-09-01,191400,201700,164900,244700,193200,159700
2005-10-01,192700,203100,165700,246900,195100,160900
2005-11-01,192900,203600,166500,246900,192100,160600
2005-12-01,192500,204200,167300,247200,189000,157800
2006-01-01,193600,204300,167300,247600,193300,161000
2006-02-01,194900,206100,168700,249900,196800,160700
2006-03-01,194900,206000,169200,249300,197600,160900
2006-04-01,196400,207700,169700,252000,200600,160800
2006-05-01,196500,207700,169900,251500,201700,162400
2006-06-01,197300,208400,171600,251700,208900,162600
2006-07-01,197100,208500,171100,252500,201800,161700
2006-08-01,198700,209800,172200,253900,203300,164000
2006-09-01,199400,210800,172500,255700,199500,164900
2006-10-01,199900,211300,172700,256300,203500,165100
2006-11-01,201200,213300,175000,258000,201900,164300
2006-12-01,202700,214500,176600,258800,206600,166800
2007-01-01,204600,216400,178000,261400,207800,168300
2007-02-01,205200,217600,178800,263000,209300,167400
2007-03-01,207000,219100,180300,264700,212200,169500
2007-04-01,207300,219600,179900,265800,212400,169200
2007-05-01,209300,222400,182700,268800,210800,169600
2007-06-01,209900,223200,184400,268600,215500,169300
2007-07-01,211900,225300,185600,271800,213300,171400
2007-08-01,212800,225800,185700,272800,214200,173000
2007-09-01,214300,227500,187600,274300,216300,173800
2007-10-01,215900,229600,189300,277000,219000,173700
2007-11-01,217400,230800,189400,278900,221400,175700
2007-12-01,219300,233700,191800,282400,223100,176700
2008-01-01,219100,233700,192400,282100,225800,174000
2008-02-01,220400,234900,192800,283900,224400,176900
2008-03-01,221600,236200,193000,286400,225900,178600
2008-04-01,222700,237600,194600,287500,225600,179100
2008-05-01,223100,237800,194700,287400,228300,180700
2008-06-01,224700,239600,195400,290600,231600,182100
2008-07-01,224700,239700,196200,290100,227000,182900
2008-08-01,225900,241400,197400,292200,229700,182500
2008-09-01,226100,241800,197500,292800,232300,181800
2008-10-01,225500,241200,197600,291400,233900,181400
2008-11-01,225400,240300,197900,288700,241300,182300
2008-12-01,225600,239700,196100,289800,237300,187000
2009-01-01,225500,240700,195500,293000,238300,183000
2009-02-01,225400,240600,196400,291500,235700,183700
2009-03-01,225300,240300,196700,290400,235100,184300
2009-04-01,226800,242100,198200,292300,240600,185200
