Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,234000,251700,224000,269700,200800,190700
2005-02-01,235800,253300,224300,272100,202300,191000
2005-03-01,233200,250800,222800,268900,201900,187700
2005-04-01,234400,252700,226600,269900,201500,187200
2005-05-01,234300,252100,225100,269800,200600,188000
2005-06-01,235300,253300,227100,270200,202600,187100
2005-07-01,235900,253500,227400,270300,203900,186900
2005-08-01,236300,254600,227900,271600,203600,185800
2005-09-01,234500,253400,225900,270200,201300,186100
2005-10-01,238000,256200,231000,272800,202900,192100
2005-11-01,239300,258900,231000,276500,203100,186000
2005-12-01,239800,259400,230400,277700,203600,186800
2006-01-01,241600,261300,232500,280500,205300,192200
2006-02-01,241100,259900,233100,278100,206200,190900
2006-03-01,243400,263200,236400,280000,207900,192100
2006-04-01,243300,262700,235100,280400,208400,192500
2006-05-01,243700,264000,236500,281200,208000,185400
2006-06-01,244100,264700,236800,282000,205800,190500
2006-07-01,245700,267000,239200,284700,205200,190900
2006-08-01,247300,267800,238200,286800,209200,193700
2006-09-01,247700,269700,240700,288600,208400,192000
2006-10-01,248100,270100,241100,289400,207700,189400
2006-11-01,247500,269200,238300,289300,206400,192400
2006-12-01,249400,270600,240500,289400,209300,195600
2007-01-01,252200,274200,243400,294000,212100,194600
2007-02-01,254900,277100,246100,297200,214000,196900
2007-03-01,256000,278600,245900,300000,213700,199800
2007-04-01,256600,279400,248200,299300,213800,198700
2007-05-01,258000,280900,250400,300500,215900,197600
2007-06-01,259600,281800,250500,301900,220300,197000
2007-07-01,260400,283600,253900,303400,217000,199300
2007-08-01,262300,285900,258000,303400,217700,201900
2007-09-01,265100,288200,259700,306700,222300,208800
2007-10-01,267400,291200,262100,309500,222100,207900
2007-11-01,270800,293800,268000,309900,228100,212700
2007-12-01,271900,296400,268600,314000,226400,208800
2008-01-01,271400,295200,267500,313300,226800,211000
2008-02-01,275000,300000,272300,317300,225800,216500
2008-03-01,274600,299700,270800,318500,226700,212600
2008-04-01,276400,300900,267500,321700,230400,214800
2008-05-01,278800,303400,270600,324900,232000,219900
2008-06-01,280600,306200,272200,327800,231800,219900
2008-07-01,281500,305600,271500,327600,237000,223000
2008-08-01,280100,304600,267100,328800,233400,222200
2008-09-01,281500,306700,274600,328700,234600,222200
2008-10-01,279700,302000,264200,325500,237800,228700
2008-11-01,280500,305100,270200,327600,236500,218900
2008-12-01,280500,304200,268300,327000,237000,224200
2009-01-01,279800,304400,273300,325500,236100,216800
2009-02-01,278500,302200,266200,325500,236100,216900
2009-03-01,280300,304300,274600,324600,237500,220300
2009-04-01,282000,306500,273000,328500,237600,222500
2009-05-01,285000,309200,275100,331300,239000,232400
2009-06-01,286100,310600,275400,334100,241400,229600
2009-07-01,290400,316500,280100,339600,243300,230900
2009-08-01,295200,322000,287400,344700,245500,234100
2009-09-01,295200,321400,283300,346400,247800,235000
2009-10-01,300300,328100,288200,354900,249700,238700
2009-11-01,301300,327700,281700,357100,253000,242900
2009-12-01,307000,334900,293500,362100,257900,240600
2010-01-01,308900,335500,292500,363800,257100,257100
2010-02-01,308700,334000,290600,362600,261300,253100
2010-03-01,312400,338600,294800,366700,263800,256700
2010-04-01,313100,339800,298500,366500,265500,253700
2010-05-01,312900,339800,297300,367400,263500,255200
2010-06-01,315700,342000,300400,369100,266200,262600
2010-07-01,311700,336900,292600,365900,265000,260300
2010-08-01,313400,338700,296800,366900,266500,262600
2010-09-01,316000,341100,296800,370200,270600,262000
2010-10-01,313100,339100,296700,367000,268500,255000
2010-11-01,319400,345600,303900,373600,270800,267900
2010-12-01,317900,343700,304000,369200,268700,269300
2011-01-01,322000,349500,302400,380000,272600,267000
2011-02-01,324200,352900,308900,382500,271600,264800
2011-03-01,325000,353100,304100,384600,273100,271300
2011-04-01,326900,355900,310900,386000,274600,270200
2011-05-01,328400,357100,311600,387200,277900,269800
2011-06-01,328400,357700,314400,386300,278800,265900
2011-07-01,331400,360400,315400,389500,281800,271600
2011-08-01,330700,359300,313200,389100,284500,268000
2011-09-01,332300,361800,318500,389500,281600,269000
2011-10-01,334900,364000,322900,391400,286700,274300
2011-11-01,333700,363000,319800,390500,284300,273300
2011-12-01,334400,364700,324300,391800,283400,270500
2012-01-01,334300,363700,317800,394100,283700,276300
2012-02-01,338300,367500,316900,401800,287300,280500
2012-03-01,336600,365700,316300,397500,288700,275100
2012-04-01,338200,367000,318300,398800,288000,285200
2012-05-01,336900,366400,319000,397100,289600,272600
2012-06-01,337600,366600,319300,397500,286700,283300
2012-07-01,337100,366800,320300,398000,288300,276400
2012-08-01,337900,367600,323500,396000,288800,279500
2012-09-01,335900,364900,319900,393700,287700,273800
2012-10-01,336600,367300,319900,397700,286100,274100
2012-11-01,338400,368800,321500,399100,287800,276700
2012-12-01,340100,371400,318200,406100,286900,279300
2013-01-01,339900,370500,324400,399900,291500,275500
2013-02-01,337800,366600,319500,398700,292000,275900
2013-03-01,338900,370600,327700,398300,287600,274300
2013-04-01,338600,370900,328200,399400,286600,273300
2013-05-01,338900,370600,322200,401500,286800,275900
2013-06-01,339700,371000,323200,401500,290300,274500
2013-07-01,341200,373800,328400,403400,288800,274300
2013-08-01,338900,371100,319700,405300,289600,270900
2013-09-01,347200,379300,330400,410500,296000,276800
2013-10-01,342800,378000,330400,409600,286600,269600
2013-11-01,341000,375600,325100,408100,286900,264600
2013-12-01,341400,374600,327200,405900,290900,269100
2014-01-01,341800,376900,330300,405800,287000,267400
2014-02-01,343600,379500,336200,408400,286000,267100
2014-03-01,343700,378600,328800,410800,291000,265900
2014-04-01,345100,379500,328500,411500,292600,271100
2014-05-01,345700,381700,336300,412000,289800,268400
2014-06-01,344200,379500,327400,412600,291000,266000
2014-07-01,344000,379200,329800,411200,289500,268500
2014-08-01,344000,379600,332600,410900,289300,267400
2014-09-01,342300,375500,322400,410000,290700,266000
2014-10-01,343100,376600,324200,410000,293300,267100
2014-11-01,345300,378800,332000,409600,292300,268800
2014-12-01,342400,375300,325500,407000,295500,263300
2015-01-01,342200,373600,320400,407400,293400,273400
2015-02-01,343800,376900,335400,405100,293700,263700
2015-03-01,344700,378500,333100,409200,290600,272300
2015-04-01,344500,379500,327600,413000,292300,260700
2015-05-01,346800,380900,331900,412900,295800,265600
2015-06-01,347900,384100,337700,415600,292700,262200
2015-07-01,346000,381000,327800,414500,293800,261300
2015-08-01,347500,383900,330400,418800,292900,261600
2015-09-01,349000,385500,335400,417500,291600,264700
2015-10-01,349100,384000,339100,413900,295800,268500
2015-11-01,345200,378400,321700,415000,292800,262800
2015-12-01,348400,383000,331900,416600,295700,266800
2016-01-01,351500,389600,339100,421900,296500,254500
2016-02-01,349500,385900,328100,422800,293800,260200
2016-03-01,350200,387000,337200,419600,296100,255200
2016-04-01,349500,384800,335600,417100,297000,259900
2016-05-01,348900,385200,333100,419900,296500,253100
2016-06-01,350800,386700,334100,421100,297800,257500
2016-07-01,354200,390700,340400,424000,299500,261700
2016-08-01,356100,392500,339000,427600,298600,269100
2016-09-01,356100,392500,337200,427700,302800,261600
2016-10-01,357300,395500,336600,433400,301100,258700
2016-11-01,362800,399200,348600,433100,302400,274700
2016-12-01,360400,400000,342400,439000,298800,263100
2017-01-01,356600,394600,334900,434100,301000,256200
2017-02-01,361000,400100,341100,438400,299200,264600
2017-03-01,362400,400900,337500,440900,303000,265700
2017-04-01,364200,403500,349300,439900,302700,266600
2017-05-01,367000,406500,347600,444900,307800,266000
2017-06-01,369900,409500,350300,447900,311300,268400
2017-07-01,372000,413100,352100,453300,311000,267900
2017-08-01,372700,412700,355600,450800,317500,266500
2017-09-01,375500,415800,354600,456900,319600,268900
2017-10-01,377700,418900,356100,460500,318400,271800
2017-11-01,381600,422500,357300,465600,323300,272800
2017-12-01,382100,425600,357900,470600,317300,276000
2018-01-01,384100,427100,364400,467600,319800,280900
2018-02-01,385200,427200,360900,468700,325100,280600
2018-03-01,385900,429500,362500,471900,324000,274900
2018-04-01,387300,431200,365600,475100,328300,275500
2018-05-01,389900,433100,368100,476100,330600,285300
2018-06-01,389000,432000,365500,475800,332400,282800
2018-07-01,391300,434000,372900,475900,339400,280200
2018-08-01,392300,435700,371300,478400,338100,281100
2018-09-01,395500,438500,376100,480200,339800,289000
2018-10-01,397600,440700,373200,483600,347000,283900
2018-11-01,402500,446100,377400,490000,349000,290600
2018-12-01,401300,446100,378000,490000,348800,285500
2019-01-01,404300,449700,379400,494900,346600,295300
2019-02-01,399600,443400,375300,487300,347800,289900
2019-03-01,404500,448100,379200,492400,353000,293600
2019-04-01,410700,455100,392500,499000,362900,300200
2019-05-01,412500,457400,390300,501200,366600,298600
2019-06-01,418100,462900,396300,507200,373200,304000
2019-07-01,421900,466500,394000,513900,377900,306800
2019-08-01,429000,475600,407700,520800,382000,310400
2019-09-01,435000,482700,413200,527700,388000,309100
2019-10-01,441300,486900,413100,534200,394500,324800
2019-11-01,447200,491000,417800,536400,405600,328800
2019-12-01,458200,501200,429700,546300,425400,337200
2020-01-01,458600,502900,428100,550000,416700,347800
2020-02-01,462900,507200,435100,555600,425800,350500
2020-03-01,466100,509300,439200,559000,426800,354500
2020-04-01,454200,498100,427400,547300,419600,345800
2020-05-01,465000,509300,436600,558800,431800,349400
2020-06-01,480300,526600,458800,573400,447500,353600
2020-07-01,497700,548500,481400,593000,460500,359600
2020-08-01,512000,562700,485400,612000,479300,367100
2020-09-01,522800,576600,494200,628600,486800,368100
2020-10-01,532500,590900,519200,637800,488700,371100
2020-11-01,537200,596700,510000,649300,492200,370100
2020-12-01,548800,609000,523500,658400,515200,374000
2021-01-01,562400,624000,545000,673200,539300,373000
2021-02-01,581700,647500,570400,699700,561500,382100
2021-03-01,598000,665300,582200,726200,566300,396800
2021-04-01,595700,665700,574300,726600,566500,398500
2021-05-01,602700,674900,589600,732500,561100,405900
2021-06-01,604700,678400,585700,738500,554300,407900
2021-07-01,602900,673900,585400,730600,555100,410200
2021-08-01,604200,677500,582200,737000,552500,406600
2021-09-01,607800,680600,592100,735000,556500,409000
2021-10-01,619100,694600,603300,750900,574300,404600
2021-11-01,629000,705400,616900,761500,581300,411000
2021-12-01,642900,721200,638200,764300,606000,411800
2022-01-01,666700,750000,652200,810200,634300,418300
2022-02-01,683700,770100,690000,823400,651800,433000
2022-03-01,684200,767100,672200,838900,644900,439400
2022-04-01,671800,753000,670900,809000,635900,448600
2022-05-01,658800,740100,664400,793200,612900,442500
2022-06-01,643800,722800,637600,777900,588400,440100
2022-07-01,632100,707200,609400,767400,581700,433200
2022-08-01,622400,693800,599900,750600,576100,429900
2022-09-01,621400,694500,605900,748700,573700,426800
2022-10-01,612700,680900,593700,734100,566800,431900
2022-11-01,612200,684500,605400,734600,559100,426400
2022-12-01,599800,669000,581600,720500,550400,420600
2023-01-01,584000,650500,562100,707300,536600,413400
2023-02-01,585100,653200,579000,702300,531700,420800
2023-03-01,588600,660400,597300,706900,536700,396700
2023-04-01,598800,672100,602900,718300,550700,410200
2023-05-01,610700,685900,607100,736800,565500,412400
2023-06-01,617600,693200,615500,741700,575000,413100
2023-07-01,622000,700700,618000,751000,568400,417600
2023-08-01,625500,706800,634100,753400,569000,416700
2023-09-01,621700,698600,617000,751500,571100,424000
2023-10-01,615100,692200,605000,749100,564700,416200
2023-11-01,612600,690300,612200,742400,559100,417100
2023-12-01,609900,685800,604400,738700,551900,424900
2024-01-01,609300,687000,616000,732300,548300,421200
2024-02-01,605600,681600,604100,730400,549600,413200
2024-03-01,606400,676400,596100,731600,558200,416300
2024-04-01,610300,686200,609900,738200,559500,410300
2024-05-01,612600,687600,606100,739500,568300,410300
2024-06-01,616300,694100,618200,744600,570400,404900
2024-07-01,617900,696600,620400,746700,567900,408900
2024-08-01,620200,699800,627800,750000,569600,407900
2024-09-01,622000,702400,629400,753000,572700,406300
2024-10-01,625400,708800,635000,762800,568400,407700
2024-11-01,624100,702300,617400,763300,580200,408300
2024-12-01,627700,709400,643700,761700,579200,403600
2025-01-01,630200,711900,633300,764800,572400,410800
2025-02-01,626600,707600,627400,760400,572600,401700
2025-03-01,626900,708800,635100,760800,563900,402900
2025-04-01,624300,705800,634700,753800,564400,398200
2025-05-01,626100,706000,634100,755800,565400,406100
2025-06-01,628900,709500,634500,760900,567800,405000
2025-07-01,631800,712300,641400,762800,574800,402700
2025-08-01,630200,709700,631500,764000,572400,404800
2025-09-01,627800,709100,636200,760900,563600,401400
2025-10-01,630300,710700,642400,759500,573000,399700
2025-11-01,628800,712100,638600,762300,561300,399000
2025-12-01,626100,710100,625400,775300,556800,394100
2026-01-01,618100,699000,624300,751600,555700,388000
2026-02-01,618600,698700,629700,747900,554600,391200
2026-03-01,615100,694700,622200,746000,548100,386100
