Date,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,318500,364800,308300,380400,212300,200300
2005-02-01,319000,365600,310000,380900,212400,200600
2005-03-01,320800,367700,311000,383300,213600,201700
2005-04-01,321800,369100,313400,384400,213700,201900
2005-05-01,323600,370900,313000,386900,214500,203500
2005-06-01,325600,373300,314200,389600,215500,204800
2005-07-01,327100,375400,315200,392000,216400,204600
2005-08-01,329300,378100,319500,394100,217600,205400
2005-09-01,329700,377900,318400,394400,218300,206200
2005-10-01,332400,381900,322400,398200,219900,206300
2005-11-01,333800,383500,323500,400000,220200,207800
2005-12-01,335300,384800,323300,401600,222400,209500
2006-01-01,337700,387800,327200,404500,222900,209800
2006-02-01,339200,389400,328000,406200,224500,212100
2006-03-01,341000,391900,330600,408700,224200,211300
2006-04-01,342700,393800,332200,410800,225800,212200
2006-05-01,343800,395200,334600,411900,226600,212700
2006-06-01,344000,395400,333300,412500,227500,212600
2006-07-01,344400,395600,333900,412600,227900,214000
2006-08-01,344800,396000,332400,413600,227800,214300
2006-09-01,346500,397600,334700,415000,229900,215800
2006-10-01,346000,397100,334500,414300,229900,215900
2006-11-01,347700,399200,337200,416200,231600,216200
2006-12-01,349300,401200,340500,417900,231800,217200
2007-01-01,349800,401200,339300,418300,232800,218600
2007-02-01,354300,407300,343600,424800,234100,219200
2007-03-01,356700,409800,347200,426900,236000,221300
2007-04-01,359100,412500,346700,430600,236800,223100
2007-05-01,361300,415000,349100,433000,237600,225100
2007-06-01,364300,418300,352700,436200,238900,227600
2007-07-01,366900,421500,356100,439400,240500,228600
2007-08-01,369100,424100,357400,442500,243000,229600
2007-09-01,371200,426800,359800,445200,242100,230500
2007-10-01,374100,430100,361500,449000,244100,232600
2007-11-01,375900,431900,363900,450700,244900,234700
2007-12-01,378400,435000,365600,454000,247000,236400
2008-01-01,381100,437500,369500,456300,248200,239100
2008-02-01,380900,437400,369100,456100,248900,240900
2008-03-01,380200,436100,366300,455100,248500,242200
2008-04-01,379500,435300,366800,453900,249800,242400
2008-05-01,378300,433500,366000,451800,250700,242600
2008-06-01,376400,431300,364500,449500,250300,241900
2008-07-01,374600,428900,361500,447200,250400,242600
2008-08-01,373000,426600,363900,443700,250800,242900
2008-09-01,370700,423900,359600,441300,250500,241800
2008-10-01,367300,419600,356400,436700,248800,241700
2008-11-01,363600,415200,349500,432900,248300,239800
2008-12-01,358900,409600,344100,427300,244200,238300
2009-01-01,354400,405000,339200,422800,243200,231200
2009-02-01,350900,400400,336800,417700,242200,231800
2009-03-01,351700,401200,335600,418900,243100,232300
2009-04-01,354100,404300,340200,421300,241800,234200
2009-05-01,359300,410900,345800,428200,243100,236700
2009-06-01,365500,418200,352400,435700,246000,240200
2009-07-01,371900,426000,359600,443600,249100,244500
2009-08-01,377800,432900,365400,450700,251600,249000
2009-09-01,383800,439900,369100,458600,254000,253700
2009-10-01,390300,447700,378500,466000,257200,257600
2009-11-01,396300,454400,383700,473100,261600,262200
2009-12-01,403300,462900,387700,482800,266400,266500
2010-01-01,405400,464000,390500,483500,270500,270700
2010-02-01,409400,469900,393100,490200,271200,271600
2010-03-01,410800,471500,396700,491100,273500,272100
2010-04-01,410700,471000,396700,490500,276200,272700
2010-05-01,408600,468400,392800,488300,275900,272300
2010-06-01,407200,466800,391800,486500,275700,271400
2010-07-01,404900,464700,388800,484800,274000,269500
2010-08-01,406200,466700,389100,487100,274300,268000
2010-09-01,407100,467800,393300,487200,275800,268400
2010-10-01,409100,470300,392000,490600,278200,269100
2010-11-01,411600,473400,395000,493900,277700,270800
2010-12-01,414700,477200,401900,496800,280000,272900
2011-01-01,418000,481400,403900,501700,281100,274500
2011-02-01,421400,485100,409900,504800,284100,277700
2011-03-01,424500,489000,410000,509500,284100,279400
2011-04-01,427400,492600,412800,513400,285600,280900
2011-05-01,431200,497400,415100,518800,288200,281700
2011-06-01,435000,501900,418500,523700,287500,284700
2011-07-01,438700,506100,423600,527700,293700,286800
2011-08-01,442100,509800,425300,531600,296200,289500
2011-09-01,444800,513400,428000,535500,298600,289700
2011-10-01,447400,517100,431700,539100,296800,290400
2011-11-01,451600,522500,437900,544300,301900,291100
2011-12-01,455200,527400,440400,549700,302100,292300
2012-01-01,458700,532100,451000,553500,303000,293400
2012-02-01,461600,535700,451100,557600,305300,294400
2012-03-01,464600,539800,455800,561500,308100,294100
2012-04-01,468000,544300,459300,566300,309800,294500
2012-05-01,469700,547000,465000,568400,310600,294400
2012-06-01,470100,547700,462600,569700,311500,293900
2012-07-01,471600,549600,464900,571800,313100,294000
2012-08-01,471300,549500,466300,571100,312400,293000
2012-09-01,472700,551300,466700,573400,312100,293400
2012-10-01,473000,551700,465600,574100,314100,292700
2012-11-01,472300,551300,467300,573100,314000,290700
2012-12-01,477300,558000,469500,580700,315700,290400
2013-01-01,475600,555100,470400,577300,318200,291000
2013-02-01,476800,556700,470600,579100,317400,290900
2013-03-01,479400,560000,475600,581900,318300,291600
2013-04-01,481200,562000,475400,584400,319800,292200
2013-05-01,484000,564900,479400,586900,322000,295000
2013-06-01,485900,567400,483800,588800,323000,293900
2013-07-01,488600,571200,486100,593000,322200,293900
2013-08-01,492000,575600,488700,597800,324600,294400
2013-09-01,495200,579900,496000,601300,326200,294800
2013-10-01,500400,586100,502600,607400,328500,297500
2013-11-01,504900,591600,507800,612900,331100,298800
2013-12-01,508100,595800,508200,617900,332500,299500
2014-01-01,509300,598000,510800,620300,331200,299700
2014-02-01,513900,603100,517700,624900,335100,301200
2014-03-01,515700,604600,516200,627100,337600,303600
2014-04-01,517700,607200,519600,629400,338800,303700
2014-05-01,520600,610900,520700,633900,340600,303800
2014-06-01,524900,616000,526100,638900,343400,305600
2014-07-01,527600,619600,529300,642600,344600,306800
2014-08-01,531700,624700,533900,647900,346800,308000
2014-09-01,536200,630900,537000,654600,350100,308500
2014-10-01,540800,636500,543200,660000,352400,310400
2014-11-01,545100,642000,544800,666500,353900,313100
2014-12-01,550600,648800,552400,673000,358400,315200
2015-01-01,555600,655700,554900,681000,364900,315700
2015-02-01,558700,660500,556000,687100,365800,313700
2015-03-01,562900,665700,560700,692500,365800,316200
2015-04-01,568100,672600,570000,698900,366300,318000
2015-05-01,571800,677700,574400,704100,368400,318900
2015-06-01,578300,686700,581900,713200,372300,320100
2015-07-01,585600,696100,593600,722100,376300,322700
2015-08-01,591100,703500,600000,729600,381400,324100
2015-09-01,595700,708400,600700,735600,385600,328700
2015-10-01,599400,713800,605600,741000,390500,328600
2015-11-01,605400,722300,611400,750000,396200,329100
2015-12-01,610100,728400,616700,756500,399400,332000
2016-01-01,615700,736900,625300,764700,398700,333200
2016-02-01,623100,746700,634300,775200,402300,334900
2016-03-01,633100,760800,648400,789400,405100,335100
2016-04-01,646300,778200,665800,806900,412100,338300
2016-05-01,660900,798200,689600,825800,419200,341300
2016-06-01,675100,817000,707400,844500,427900,346600
2016-07-01,688300,834100,717000,863800,439400,351700
2016-08-01,701800,851300,730500,881700,449100,358700
2016-09-01,714000,867300,746700,897800,457700,364000
2016-10-01,724600,881100,754600,913000,464500,369000
2016-11-01,734900,893100,766500,924900,474500,376900
2016-12-01,744300,904700,777700,936800,477800,383200
2017-01-01,760600,924500,794900,956600,494200,393100
2017-02-01,793500,967800,844900,999000,511200,403500
2017-03-01,829600,1009700,888500,1041000,528300,426700
2017-04-01,838100,1013200,887200,1046100,548900,445800
2017-05-01,822200,991600,852600,1027900,544700,447800
2017-06-01,803700,966400,814400,1005400,541200,448700
2017-07-01,783600,939400,795800,977100,535000,445400
2017-08-01,776400,930400,785900,967900,528400,446200
2017-09-01,770000,921200,780600,957400,526200,448100
2017-10-01,768000,917200,778300,952800,525500,453900
2017-11-01,764900,911700,771000,947800,525700,457600
2017-12-01,762200,907600,767900,943400,525400,460200
2018-01-01,757500,899300,755800,935800,530700,463500
2018-02-01,752200,892100,758500,926500,520600,465900
2018-03-01,752500,891000,756700,925800,524200,469700
2018-04-01,754000,891800,762200,925400,526300,474300
2018-05-01,754800,894400,760100,929700,525100,476500
2018-06-01,756800,896400,754500,933600,529200,479300
2018-07-01,761100,901700,762700,938500,535500,483100
2018-08-01,762500,903300,766900,939000,537800,486800
2018-09-01,767800,908600,765200,945600,546000,493700
2018-10-01,768300,908200,766600,944500,547900,497300
2018-11-01,767100,906500,764400,942800,548100,498700
2018-12-01,766100,902800,757300,940300,555900,503700
2019-01-01,760000,896700,750600,934500,549000,498600
2019-02-01,753900,888700,746700,926400,546800,497100
2019-03-01,752700,888800,751900,924600,541900,495900
2019-04-01,756200,892700,753600,928700,542800,500000
2019-05-01,759500,897900,760200,934500,551000,505200
2019-06-01,767900,906200,772000,942100,556800,511300
2019-07-01,774000,913600,775000,950800,559000,517500
2019-08-01,779600,919900,775100,957700,568700,522300
2019-09-01,785000,925900,781500,963100,571700,527800
2019-10-01,793300,935600,791300,971700,582300,533700
2019-11-01,798300,939600,797400,974300,585900,541800
2019-12-01,801500,940300,795000,977400,591900,548400
2020-01-01,804900,943200,801700,981200,592600,555600
2020-02-01,813700,952500,807000,993100,596900,562400
2020-03-01,817900,958500,813000,997500,600900,567500
2020-04-01,806400,943900,786400,984200,602000,559700
2020-05-01,811700,956800,806100,996600,605500,554400
2020-06-01,831200,981300,834700,1020300,614600,552100
2020-07-01,850600,1005400,863000,1042800,630000,558000
2020-08-01,870400,1032000,880800,1069600,642200,561200
2020-09-01,877900,1040700,892200,1076600,647800,561900
2020-10-01,886300,1049600,893900,1085600,652700,567100
2020-11-01,900700,1068200,908700,1103300,659900,570200
2020-12-01,912800,1086000,936900,1122200,664300,568500
2021-01-01,929600,1111400,970400,1149800,676000,572800
2021-02-01,950500,1138200,1002000,1178100,690500,576500
2021-03-01,966800,1159100,1009700,1200400,700800,586700
2021-04-01,981600,1174400,1020200,1213900,710900,598400
2021-05-01,1005100,1196000,1044700,1234600,724300,637900
2021-06-01,1018300,1214400,1064300,1252900,731300,624300
2021-07-01,1037200,1239400,1074600,1280300,741800,631500
2021-08-01,1053600,1261700,1105300,1297400,750300,638700
2021-09-01,1083800,1303600,1128300,1343600,767400,645100
2021-10-01,1114600,1348300,1154200,1390200,788800,645300
2021-11-01,1144100,1389100,1186200,1429700,809400,650700
2021-12-01,1165900,1415500,1214000,1462800,829200,656400
2022-01-01,1220000,1485600,1289100,1539800,856800,692800
2022-02-01,1259200,1532100,1321200,1593700,881400,713400
2022-03-01,1238500,1505200,1269300,1572400,881800,716100
2022-04-01,1206700,1461300,1222000,1522500,869400,708600
2022-05-01,1169700,1414000,1167500,1475300,847400,696800
2022-06-01,1137500,1367500,1116600,1429900,833300,681300
2022-07-01,1106400,1326500,1084600,1385800,814500,667300
2022-08-01,1090200,1304600,1063600,1361600,803600,662900
2022-09-01,1080800,1293600,1051700,1350600,792500,656500
2022-10-01,1071400,1281900,1052300,1334400,781300,653800
2022-11-01,1064200,1275100,1035900,1328500,776400,645700
2022-12-01,1051600,1259000,1016600,1318500,765600,639100
2023-01-01,1035800,1241200,1014600,1303300,761900,632100
2023-02-01,1032000,1239400,1020700,1300800,747700,625600
2023-03-01,1041000,1257300,1050400,1317800,760700,622400
2023-04-01,1066800,1293900,1070700,1352000,774100,629400
2023-05-01,1091300,1329300,1095400,1385800,794700,639100
2023-06-01,1105600,1344700,1107500,1403500,799000,648100
2023-07-01,1111700,1352200,1113500,1410700,807500,653700
2023-08-01,1105300,1344300,1089100,1406100,808800,653800
2023-09-01,1094300,1329100,1085800,1388300,808700,653800
2023-10-01,1076300,1306800,1056400,1367800,796200,649000
2023-11-01,1054900,1279100,1044800,1335700,785000,642400
2023-12-01,1045100,1265400,1040900,1323000,784200,636700
2024-01-01,1035500,1257400,1043100,1318100,768800,629000
2024-02-01,1042400,1270800,1050900,1331500,774100,624700
2024-03-01,1046000,1281500,1053900,1349200,772400,625300
2024-04-01,1042600,1276700,1067400,1332200,774500,628100
2024-05-01,1035800,1272900,1066200,1323500,771500,624500
2024-06-01,1039300,1272600,1066500,1326200,775700,625700
2024-07-01,1037300,1269000,1059500,1323500,774100,623800
2024-08-01,1033200,1264500,1063200,1317100,771000,616500
2024-09-01,1028600,1257100,1050000,1311900,762600,615200
2024-10-01,1025200,1252300,1051800,1306000,764100,611700
2024-11-01,1028100,1255100,1050100,1310500,767300,613500
2024-12-01,1024500,1251000,1050200,1306600,765300,611100
2025-01-01,1026700,1254300,1069200,1308500,766700,610200
2025-02-01,1013400,1238600,1032100,1295900,756000,602700
2025-03-01,1000500,1222000,1019100,1280900,748100,597400
2025-04-01,991200,1212700,1002500,1269100,739000,585200
2025-05-01,992000,1220000,1020200,1268600,736400,582900
2025-06-01,982300,1201200,994100,1256200,725600,577500
2025-07-01,979000,1197300,992500,1251700,716800,573700
2025-08-01,976800,1193200,993300,1246600,713300,572700
2025-09-01,972500,1187400,985100,1241600,716400,567400
2025-10-01,971200,1184800,983200,1238900,713500,567700
2025-11-01,965800,1178800,974500,1233200,705400,563900
2025-12-01,958000,1169900,962200,1225600,699400,559200
2026-01-01,942900,1152500,948600,1209400,689800,550400
2026-02-01,933900,1142300,939900,1196400,685800,545200
2026-03-01,928000,1135500,934100,1190300,682700,540500
