Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100,100,100,100,100,100,191000,210800,203000,234100,136000,99500
2005-02-01,102.2,102.1,102,102.7,103.8,101.9,195200,215300,207000,240400,141100,101400
2005-03-01,104.3,104.2,103.9,105.1,107.1,103.8,199200,219700,210900,246100,145600,103300
2005-04-01,105.9,105.8,105.6,106.7,107.3,106.7,202300,223000,214300,249700,145900,106200
2005-05-01,107.3,107.2,107.1,107.8,107.4,109.8,205000,226000,217400,252400,146100,109300
2005-06-01,108.8,108.7,108.7,109.1,107.9,112.9,207900,229100,220600,255300,146700,112300
2005-07-01,110.9,110.7,110.7,110.8,111.1,114,211800,233300,224700,259400,151100,113400
2005-08-01,113,112.7,112.7,112.8,114.3,115.5,215800,237600,228800,264100,155400,114900
2005-09-01,115.2,114.8,114.8,115,117.6,117.1,220000,242000,233000,269100,159900,116500
2005-10-01,117.1,116.7,116.6,117.1,119.3,120,223700,246100,236700,274100,162300,119400
2005-11-01,119.1,118.7,118.5,119.4,121.3,122.7,227500,250200,240600,279400,165000,122100
2005-12-01,121.1,120.6,120.4,121.7,123.1,125.4,231300,254300,244400,284800,167400,124800
2006-01-01,122.8,122.3,122.4,122.3,125,129.3,234600,257900,248500,286400,170000,128700
2006-02-01,124.5,123.9,124.2,123.2,126.5,133.9,237700,261200,252100,288400,172100,133200
2006-03-01,125.8,125.3,126,123.7,127.7,137.9,240300,264200,255700,289500,173700,137200
2006-04-01,127.3,126.9,127.4,125.6,129.5,139.5,243200,267500,258700,294000,176100,138800
2006-05-01,128.7,128.3,128.8,127.3,131,141.7,245800,270500,261500,298000,178200,141000
2006-06-01,130.1,129.7,130.1,129,133.4,144.2,248400,273400,264200,301900,181400,143500
2006-07-01,130.6,130.3,130.8,129.4,134.8,145.1,249500,274600,265600,302900,183300,144400
2006-08-01,131.3,130.9,131.5,129.7,136.2,146.9,250700,276000,266900,303700,185200,146200
2006-09-01,131.9,131.6,132.1,130.6,137.6,148.9,251900,277400,268200,305700,187100,148200
2006-10-01,132.5,132.4,133,131.2,138.2,148.6,253100,279100,269900,307100,188000,147900
2006-11-01,133.1,133.3,133.8,132.2,139.2,148,254300,281000,271700,309500,189300,147300
2006-12-01,134,134.3,134.8,133.5,139.8,147.4,255900,283200,273600,312600,190100,146700
2007-01-01,134.9,135.4,135.8,134.9,141.5,148.4,257700,285500,275600,315700,192500,147700
2007-02-01,136.3,136.7,136.7,136.6,142.6,149.8,260300,288200,277600,319700,193900,149100
2007-03-01,137.1,137.7,137.5,138.1,143.2,151.7,261800,290200,279100,323200,194800,150900
2007-04-01,138.2,138.9,138.6,139.3,144.3,151.7,263900,292700,281400,326100,196300,150900
2007-05-01,139.5,140.4,140.1,141.1,144.9,151.9,266500,295900,284400,330200,197000,151100
2007-06-01,140.7,141.6,141.3,142.4,146.5,151.9,268700,298500,286900,333300,199300,151100
2007-07-01,142,143.1,143,143.7,148,152.5,271300,301700,290200,336400,201300,151700
2007-08-01,143.6,144.8,144.5,145.4,149.9,153.9,274200,305200,293400,340300,203900,153100
2007-09-01,145.2,146.7,146.5,147.3,151.8,154.5,277300,309300,297300,344800,206400,153700
2007-10-01,146.8,148.1,147.8,148.8,153.6,159.8,280300,312300,300100,348300,208900,159000
2007-11-01,148.8,150.2,149.8,150.7,156.4,164.4,284200,316600,304100,352900,212700,163600
2007-12-01,151.1,152.4,151.8,152.8,158,168,288600,321200,308200,357800,214900,167200
2008-01-01,152.6,154,153.5,155,161.4,168.3,291400,324600,311700,362800,219500,167500
2008-02-01,153.2,154.6,155.1,152.2,160.5,168.4,292600,325800,314800,356300,218300,167600
2008-03-01,154.3,155.6,155.8,154.5,166.8,166.7,294700,327900,316200,361800,226800,165900
2008-04-01,154.7,155.6,156.1,153.7,165,174.2,295400,327900,316800,359900,224400,173300
2008-05-01,155.5,156.5,156.7,155.9,166.9,173,297100,330000,318100,365000,227000,172100
2008-06-01,155.7,156.7,156.5,156.6,167.4,173,297300,330300,317600,366700,227700,172100
2008-07-01,156.2,157.3,156.2,160.2,166.7,177.7,298400,331500,317000,375000,226700,176800
2008-08-01,155.7,156.5,155.8,158.1,167.1,177.7,297400,329800,316200,370000,227300,176800
