Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,3.20,1.80,2.20,2.40,2.10
1991-10-01,3.90,3.50,4.00,2.90,3.70
1992-10-01,3.50,5.30,5.90,5.20,5.50
1993-10-01,7.80,5.60,6.20,4.80,5.90
1994-10-01,8.90,4.60,5.30,4.80,5.10
1995-10-01,4.60,3.30,3.90,3.20,3.60
1996-10-01,2.30,1.40,1.60,1.70,1.50
1997-10-01,0.90,0.50,0.50,0.40,0.50
1998-10-01,1.60,0.50,0.60,0.50,0.60
1999-10-01,**,2.90,2.20,1.90,2.70
2000-10-01,1.60,1.30,1.10,1.60,1.20
2001-10-01,1.50,1.10,1.20,1.40,1.20
2002-10-01,2.90,2.60,3.20,2.10,2.80
2003-10-01,5.80,3.90,4.70,4.40,4.40
2004-10-01,5.70,3.40,5.00,4.50,4.30
2005-10-01,2.00,1.40,1.70,3.40,1.70
2006-10-01,0.90,0.50,0.50,0.90,0.50
2007-10-01,1.40,1.50,1.70,2.10,1.60
2008-10-01,2.90,1.90,2.30,2.40,2.20
2009-10-01,4.50,4.90,5.60,5.80,5.30
2010-10-01,4.10,2.90,4.00,5.00,3.60
2011-10-01,1.90,1.80,2.00,2.50,1.90
2012-10-01,1.10,1.10,1.40,1.30,1.30
2013-10-01,0.70,1.00,1.10,0.50,1.00
2014-10-01,1.00,1.30,1.50,1.40,1.40
2015-10-01,2.40,4.80,5.10,3.60,4.80
2016-10-01,5.30,6.20,7.70,7.10,6.90
2017-10-01,5.70,5.70,6.70,6.50,6.20
2018-10-01,2.20,3.60,4.20,4.90,3.90
2019-10-01,2.50,3.50,4.20,4.30,3.80
2020-10-01,6.00,6.80,6.20,4.90,6.30
2021-10-01,3.30,5.20,5.30,3.30,5.00
2022-10-01,3.30,2.90,2.50,1.80,2.60
2023-10-01,0.70,1.50,1.40,0.90,1.40
2024-10-01,4.50,4.60,4.80,2.70,4.60
2025-10-01,6.00,4.40,5.70,3.20,5.00
