Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,376.00,462.00,531.00,617.00,504.00
1991-10-01,388.00,483.00,555.00,641.00,526.00
1992-10-01,388.00,493.00,569.00,658.00,537.00
1993-10-01,397.00,501.00,576.00,662.00,545.00
1994-10-01,400.00,506.00,580.00,670.00,550.00
1995-10-01,409.00,515.00,590.00,680.00,559.00
1996-10-01,413.00,521.00,594.00,679.00,563.00
1997-10-01,419.00,527.00,598.00,686.00,568.00
1998-10-01,432.00,543.00,617.00,705.00,586.00
1999-10-01,448.00,560.00,629.00,722.00,601.00
2000-10-01,469.00,582.00,649.00,750.00,622.00
2001-10-01,490.00,606.00,673.00,780.00,647.00
2002-10-01,503.00,626.00,695.00,805.00,668.00
2003-10-01,516.00,637.00,705.00,818.00,678.00
2004-10-01,523.00,645.00,720.00,834.00,691.00
2005-10-01,529.00,659.00,733.00,842.00,703.00
2006-10-01,546.00,676.00,756.00,877.00,724.00
2007-10-01,563.00,699.00,775.00,902.00,746.00
2008-10-01,582.00,726.00,806.00,929.00,774.00
2009-10-01,594.00,736.00,814.00,933.00,782.00
2010-10-01,607.00,756.00,837.00,967.00,806.00
2011-10-01,636.00,774.00,858.00,983.00,826.00
2012-10-01,639.00,792.00,877.00,1005.00,844.00
2013-10-01,659.00,808.00,897.00,1024.00,862.00
2014-10-01,675.00,828.00,918.00,1037.00,883.00
2015-10-01,694.00,851.00,942.00,1068.00,907.00
2016-10-01,708.00,868.00,965.00,1082.00,926.00
2017-10-01,734.00,902.00,992.00,1113.00,956.00
2018-10-01,787.00,945.00,1028.00,1148.00,997.00
2019-10-01,820.00,1000.00,1080.00,1199.00,1049.00
2020-10-01,864.00,1046.00,1128.00,1255.00,1097.00
2021-10-01,887.00,1071.00,1169.00,1310.00,1134.00
2022-10-01,949.00,1147.00,1259.00,1389.00,1214.00
2023-10-01,1019.00,1246.00,1360.00,1479.00,1314.00
2024-10-01,1089.00,1323.00,1447.00,1608.00,1402.00
2025-10-01,1159.00,1382.00,1550.00,1729.00,1488.00
