Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,5.00,3.50,3.20,2.90,3.40
1991-10-01,6.30,4.30,4.10,3.90,4.30
1992-10-01,6.10,4.80,4.60,4.30,4.80
1993-10-01,5.80,4.90,4.70,4.20,4.80
1994-10-01,5.70,4.50,4.60,4.10,4.60
1995-10-01,5.80,4.70,4.30,3.60,4.50
1996-10-01,6.00,4.50,4.50,3.90,4.50
1997-10-01,5.30,4.40,4.50,3.90,4.50
1998-10-01,4.70,3.90,4.10,3.30,4.00
1999-10-01,4.00,3.20,3.20,2.90,3.20
2000-10-01,3.00,2.10,2.10,2.10,2.20
2001-10-01,2.40,1.70,1.60,1.70,1.70
2002-10-01,2.50,2.20,2.00,2.20,2.20
2003-10-01,3.10,2.80,2.40,2.70,2.60
2004-10-01,3.20,3.00,3.00,2.90,3.00
2005-10-01,3.70,2.90,2.70,2.70,2.80
2006-10-01,3.60,2.70,2.50,2.50,2.70
2007-10-01,3.60,2.70,2.50,2.70,2.70
2008-10-01,3.20,2.30,2.20,2.10,2.30
2009-10-01,3.90,3.10,3.00,2.80,3.10
2010-10-01,3.40,2.90,2.80,2.70,2.90
2011-10-01,2.80,2.40,2.50,2.60,2.50
2012-10-01,3.30,2.60,2.80,2.70,2.80
2013-10-01,3.30,2.80,2.90,2.80,2.90
2014-10-01,3.40,2.90,3.00,3.00,3.00
2015-10-01,4.20,3.30,3.60,3.50,3.50
2016-10-01,4.40,3.40,3.70,3.90,3.70
2017-10-01,3.50,2.90,3.00,3.00,3.00
2018-10-01,2.90,2.40,2.50,2.00,2.40
2019-10-01,3.00,2.30,2.20,1.80,2.30
2020-10-01,4.60,3.50,2.80,2.60,3.10
2021-10-01,5.30,3.80,2.60,2.10,3.10
2022-10-01,2.60,2.00,1.80,1.60,1.90
2023-10-01,2.00,1.60,1.50,1.30,1.50
2024-10-01,2.70,2.40,2.00,2.10,2.20
2025-10-01,3.50,3.50,2.90,2.10,3.10
