Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,335.00,414.00,519.00,593.00,474.00
1991-10-01,355.00,434.00,538.00,620.00,494.00
1992-10-01,365.00,443.00,549.00,630.00,503.00
1993-10-01,372.00,442.00,549.00,629.00,502.00
1994-10-01,365.00,432.00,528.00,611.00,486.00
1995-10-01,353.00,423.00,522.00,600.00,476.00
1996-10-01,356.00,421.00,520.00,601.00,474.00
1997-10-01,359.00,428.00,527.00,607.00,481.00
1998-10-01,389.00,450.00,556.00,638.00,508.00
1999-10-01,403.00,468.00,581.00,662.00,526.00
2000-10-01,421.00,489.00,606.00,681.00,549.00
2001-10-01,459.00,537.00,660.00,738.00,600.00
2002-10-01,491.00,576.00,714.00,792.00,647.00
2003-10-01,504.00,589.00,727.00,801.00,659.00
2004-10-01,505.00,598.00,732.00,803.00,666.00
2005-10-01,514.00,609.00,734.00,807.00,673.00
2006-10-01,563.00,667.00,814.00,915.00,745.00
2007-10-01,660.00,785.00,969.00,1119.00,885.00
2008-10-01,709.00,849.00,1043.00,1189.00,956.00
2009-10-01,705.00,842.00,1020.00,1143.00,934.00
2010-10-01,709.00,844.00,1023.00,1175.00,941.00
2011-10-01,714.00,858.00,1041.00,1193.00,956.00
2012-10-01,744.00,882.00,1075.00,1221.00,986.00
2013-10-01,785.00,934.00,1142.00,1292.00,1047.00
2014-10-01,844.00,1002.00,1229.00,1389.00,1126.00
2015-10-01,872.00,1029.00,1259.00,1409.00,1155.00
2016-10-01,851.00,999.00,1233.00,1388.00,1132.00
2017-10-01,840.00,987.00,1218.00,1378.00,1119.00
2018-10-01,866.00,1016.00,1254.00,1384.00,1151.00
2019-10-01,879.00,1026.00,1264.00,1401.00,1162.00
2020-10-01,883.00,1028.00,1275.00,1391.00,1167.00
2021-10-01,881.00,1034.00,1272.00,1410.00,1173.00
2022-10-01,906.00,1066.00,1303.00,1449.00,1207.00
2023-10-01,948.00,1126.00,1393.00,1531.00,1281.00
2024-10-01,1051.00,1218.00,1508.00,1686.00,1395.00
2025-10-01,1107.00,1285.00,1577.00,1786.00,1465.00
