,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,2.80,1.80,1.50,1.40,1.70
1991-10-01,3.30,2.60,1.80,1.70,2.20
1992-10-01,3.90,4.20,4.10,2.70,3.90
1993-10-01,5.60,7.00,6.20,4.60,6.30
1994-10-01,8.00,9.00,9.50,7.20,8.90
1995-10-01,10.10,10.30,10.20,7.90,9.90
1996-10-01,7.70,7.50,7.70,6.80,7.50
1997-10-01,4.50,5.00,4.20,4.70,4.60
1998-10-01,2.50,1.90,1.60,1.40,1.80
1999-10-01,2.90,2.10,2.20,2.00,2.20
2000-10-01,2.00,1.20,1.40,1.40,1.30
2001-10-01,0.70,0.80,1.10,1.30,0.90
2002-10-01,1.50,1.70,1.70,1.40,1.70
2003-10-01,2.30,3.20,3.80,4.00,3.50
2004-10-01,4.30,5.20,5.70,4.00,5.20
2005-10-01,4.00,4.20,5.00,3.70,4.50
2006-10-01,1.40,1.30,1.10,0.70,1.10
2007-10-01,2.50,1.50,1.40,1.40,1.50
2008-10-01,2.50,2.20,2.70,3.20,2.50
2009-10-01,3.30,4.50,4.80,3.90,4.50
2010-10-01,4.30,4.10,4.20,3.00,4.00
2011-10-01,2.60,3.50,3.00,2.80,3.20
2012-10-01,1.40,1.90,1.40,1.60,1.70
2013-10-01,1.60,1.50,1.20,0.70,1.30
2014-10-01,1.90,1.80,1.60,1.70,1.70
2015-10-01,3.70,3.80,4.10,3.80,4.00
2016-10-01,6.80,6.90,7.10,6.40,6.90
2017-10-01,7.10,7.00,6.90,4.70,6.70
2018-10-01,4.90,5.20,5.50,4.50,5.30
2019-10-01,5.00,4.90,5.40,4.30,5.10
2020-10-01,8.30,7.10,7.60,4.40,7.10
2021-10-01,8.60,7.70,7.30,4.20,7.20
2022-10-01,6.10,5.40,3.70,2.10,4.30
2023-10-01,3.90,3.10,2.00,1.40,2.50
2024-10-01,3.30,3.40,2.50,2.40,2.90
2025-10-01,3.50,3.90,3.80,3.30,3.80
