Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
2002-10-01,428.00,510.00,562.00,713.00,551.00
2003-10-01,447.00,536.00,584.00,750.00,570.00
2004-10-01,464.00,544.00,600.00,754.00,583.00
2005-10-01,469.00,567.00,625.00,766.00,604.00
2006-10-01,484.00,568.00,626.00,777.00,604.00
2007-10-01,492.00,578.00,645.00,828.00,625.00
2008-10-01,505.00,592.00,657.00,814.00,634.00
2009-10-01,519.00,603.00,666.00,825.00,644.00
2010-10-01,530.00,626.00,699.00,883.00,673.00
2011-10-01,554.00,643.00,723.00,882.00,695.00
2012-10-01,543.00,637.00,708.00,892.00,685.00
2013-10-01,559.00,649.00,732.00,890.00,704.00
2014-10-01,574.00,653.00,737.00,916.00,714.00
2015-10-01,577.00,665.00,758.00,952.00,735.00
2016-10-01,591.00,678.00,799.00,956.00,755.00
2017-10-01,604.00,701.00,783.00,1016.00,765.00
2018-10-01,650.00,721.00,812.00,1056.00,795.00
2019-10-01,660.00,752.00,851.00,1118.00,835.00
2020-10-01,712.00,811.00,889.00,1144.00,882.00
2021-10-01,718.00,815.00,917.00,1183.00,899.00
2022-10-01,790.00,909.00,994.00,1236.00,972.00
2023-10-01,818.00,944.00,1046.00,1324.00,1036.00
2024-10-01,901.00,1034.00,1127.00,1546.00,1135.00
2025-10-01,1014.00,1111.00,1348.00,1692.00,1272.00
