Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
2002-10-01,1.20,0.70,0.60,1.40,0.80
2003-10-01,1.70,1.40,0.90,1.00,1.10
2004-10-01,2.30,1.90,1.50,1.30,1.70
2005-10-01,3.80,2.30,1.70,1.50,2.10
2006-10-01,4.50,3.40,2.40,2.00,3.00
2007-10-01,4.80,3.50,2.40,2.30,3.10
2008-10-01,4.40,2.80,2.10,1.00,2.50
2009-10-01,3.70,3.00,2.00,1.60,2.50
2010-10-01,3.80,3.20,2.20,1.80,2.70
2011-10-01,3.50,2.60,2.20,2.00,2.40
2012-10-01,4.60,2.90,2.40,1.80,2.80
2013-10-01,3.90,3.00,2.60,2.30,2.80
2014-10-01,4.00,4.30,3.20,2.50,3.50
2015-10-01,6.30,4.60,3.70,3.00,4.20
2016-10-01,6.10,4.60,3.20,3.20,4.00
2017-10-01,3.60,3.30,2.30,2.40,2.80
2018-10-01,3.10,2.10,1.80,0.80,1.90
2019-10-01,3.30,1.60,1.50,0.80,1.60
2020-10-01,5.10,3.40,2.50,3.60,3.20
2021-10-01,6.90,4.50,2.50,2.80,3.60
2022-10-01,2.90,1.90,2.40,**,2.20
2023-10-01,2.20,1.00,1.90,**,1.60
2024-10-01,2.40,1.80,1.30,**,2.00
2025-10-01,3.60,3.20,2.90,2.20,3.00
