Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1998-10-01,1.20,0.80,0.70,1.20,0.90
1999-10-01,0.90,0.80,0.90,1.50,0.90
2000-10-01,0.70,0.60,0.60,0.80,0.60
2001-10-01,1.20,0.90,0.70,0.80,0.90
2002-10-01,2.80,2.60,2.20,2.50,2.50
2003-10-01,4.20,4.00,3.70,4.00,3.90
2004-10-01,4.10,4.30,4.40,4.50,4.40
2005-10-01,4.30,3.80,3.60,4.10,3.80
2006-10-01,3.50,3.60,3.10,3.60,3.40
2007-10-01,2.80,3.20,3.40,4.70,3.40
2008-10-01,2.10,2.00,1.90,2.20,2.00
2009-10-01,5.00,3.00,2.90,2.80,3.10
2010-10-01,2.30,2.40,2.00,1.80,2.20
2011-10-01,1.50,1.50,1.30,1.70,1.40
2012-10-01,1.50,1.80,1.70,1.80,1.70
2013-10-01,1.90,1.70,1.40,1.70,1.60
2014-10-01,1.50,1.80,1.40,1.30,1.60
2015-10-01,1.90,1.70,1.50,1.50,1.60
2016-10-01,1.50,1.30,1.20,1.90,1.30
2017-10-01,1.20,1.10,0.90,1.20,1.10
2018-10-01,1.60,1.20,0.90,1.00,1.10
2019-10-01,2.10,1.70,1.30,0.90,1.50
2020-10-01,5.70,4.30,2.80,2.30,3.60
2021-10-01,8.20,6.10,3.40,2.30,4.90
2022-10-01,2.70,1.90,1.30,1.20,1.70
2023-10-01,1.70,1.70,1.00,1.00,1.40
2024-10-01,4.50,2.70,1.70,1.30,2.30
2025-10-01,4.20,3.50,2.10,1.70,2.80
