Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,474.00,568.00,856.00,1096.00,599.00
1991-10-01,476.00,600.00,832.00,1109.00,621.00
1992-10-01,486.00,611.00,875.00,1084.00,639.00
1993-10-01,498.00,629.00,913.00,1092.00,659.00
1994-10-01,521.00,643.00,933.00,1154.00,685.00
1995-10-01,546.00,661.00,955.00,1243.00,697.00
1996-10-01,572.00,688.00,967.00,1144.00,730.00
1997-10-01,574.00,703.00,975.00,1383.00,744.00
1998-10-01,607.00,703.00,1008.00,1256.00,749.00
1999-10-01,600.00,718.00,976.00,1143.00,752.00
2000-10-01,615.00,733.00,1037.00,1383.00,773.00
2001-10-01,639.00,761.00,1060.00,1431.00,796.00
2002-10-01,660.00,786.00,1107.00,1532.00,831.00
2003-10-01,679.00,805.00,1132.00,1372.00,848.00
2004-10-01,695.00,823.00,1163.00,1483.00,866.00
2005-10-01,701.00,837.00,1194.00,1431.00,881.00
2006-10-01,727.00,868.00,1243.00,1508.00,915.00
2007-10-01,760.00,902.00,1289.00,1449.00,947.00
2008-10-01,779.00,936.00,1324.00,1743.00,988.00
2009-10-01,840.00,990.00,1405.00,1750.00,1044.00
2010-10-01,846.00,1013.00,1442.00,1802.00,1062.00
2011-10-01,881.00,1045.00,1498.00,1846.00,1106.00
2012-10-01,910.00,1067.00,1526.00,1912.00,1131.00
2013-10-01,917.00,1090.00,1544.00,1921.00,1147.00
2014-10-01,942.00,1124.00,1575.00,1916.00,1178.00
2015-10-01,982.00,1175.00,1647.00,2009.00,1236.00
2016-10-01,1061.00,1268.00,1763.00,2035.00,1327.00
2017-10-01,1108.00,1326.00,1865.00,2223.00,1392.00
2018-10-01,1198.00,1410.00,1967.00,2317.00,1481.00
2019-10-01,1275.00,1492.00,2070.00,2422.00,1570.00
2020-10-01,1309.00,1515.00,2093.00,2583.00,1601.00
2021-10-01,1346.00,1520.00,2108.00,2751.00,1612.00
2022-10-01,1419.00,1629.00,2276.00,2935.00,1728.00
2023-10-01,1530.00,1786.00,2464.00,2850.00,1887.00
2024-10-01,1618.00,1836.00,2554.00,3229.00,1966.00
2025-10-01,1706.00,1860.00,2638.00,3291.00,1994.00
