date,tsx_cad
1999-01-01,6729.60
1999-02-01,6312.70
1999-03-01,6597.80
1999-04-01,7014.70
1999-05-01,6841.80
1999-06-01,7010.10
1999-07-01,7081.00
1999-08-01,6970.80
1999-09-01,6957.70
1999-10-01,7256.20
1999-11-01,7523.20
1999-12-01,8413.80
2000-01-01,8481.10
2000-02-01,9129.00
2000-03-01,9462.40
2000-04-01,9347.60
2000-05-01,9252.00
2000-06-01,10195.50
2000-07-01,10406.30
2000-08-01,11247.90
2000-09-01,10377.90
2000-10-01,9639.60
2000-11-01,8819.90
2000-12-01,8933.70
2001-01-01,9321.90
2001-02-01,8078.70
2001-03-01,7608.00
2001-04-01,7946.60
2001-05-01,8161.90
2001-06-01,7736.40
2001-07-01,7689.70
2001-08-01,7399.20
2001-09-01,6838.60
2001-10-01,6885.70
2001-11-01,7425.70
2001-12-01,7688.40
2002-01-01,7648.50
2002-02-01,7637.50
2002-03-01,7851.50
2002-04-01,7663.40
2002-05-01,7656.10
2002-06-01,7145.60
2002-07-01,6605.40
2002-08-01,6612.00
2002-09-01,6180.40
2002-10-01,6248.80
2002-11-01,6570.40
2002-12-01,6614.50
2003-01-01,6569.50
2003-02-01,6555.10
2003-03-01,6343.30
2003-04-01,6586.10
2003-05-01,6859.80
2003-06-01,6983.10
2003-07-01,7257.90
2003-08-01,7510.30
2003-09-01,7421.10
2003-10-01,7772.70
2003-11-01,7859.40
2003-12-01,8220.90
2004-01-01,8521.40
2004-02-01,8788.50
2004-03-01,8585.90
2004-04-01,8244.00
2004-05-01,8417.30
2004-06-01,8545.60
2004-07-01,8458.10
2004-08-01,8377.00
2004-09-01,8668.30
2004-10-01,8871.00
2004-11-01,9030.10
2004-12-01,9246.70
2005-01-01,9204.10
2005-02-01,9668.30
2005-03-01,9612.40
2005-04-01,9369.30
2005-05-01,9607.30
2005-06-01,9902.80
2005-07-01,10422.90
2005-08-01,10668.90
2005-09-01,11011.80
2005-10-01,10383.30
2005-11-01,10824.10
2005-12-01,11272.30
2006-01-01,11945.60
2006-02-01,11688.30
2006-03-01,12110.60
2006-04-01,12204.20
2006-05-01,11744.50
2006-06-01,11612.90
2006-07-01,11831.00
2006-08-01,12073.80
2006-09-01,11761.30
2006-10-01,12344.60
2006-11-01,12752.40
2006-12-01,12908.40
2007-01-01,13034.10
2007-02-01,13045.00
2007-03-01,13165.50
2007-04-01,13416.70
2007-05-01,14056.80
2007-06-01,13906.60
2007-07-01,13868.60
2007-08-01,13660.50
2007-09-01,14098.90
2007-10-01,14625.00
2007-11-01,13689.10
2007-12-01,13833.10
2008-01-01,13155.10
2008-02-01,13582.70
2008-03-01,13350.10
2008-04-01,13937.00
2008-05-01,14714.70
2008-06-01,14467.00
2008-07-01,13592.90
2008-08-01,13771.30
2008-09-01,11752.90
2008-10-01,9762.80
2008-11-01,9270.60
2008-12-01,8987.70
2009-01-01,8694.90
2009-02-01,8123.00
2009-03-01,8720.40
2009-04-01,9324.80
2009-05-01,10370.10
2009-06-01,10374.90
2009-07-01,10787.20
2009-08-01,10868.20
2009-09-01,11395.00
2009-10-01,10910.80
2009-11-01,11447.20
2009-12-01,11746.10
2010-01-01,11094.30
2010-02-01,11629.60
2010-03-01,12037.70
2010-04-01,12210.70
2010-05-01,11763.00
2010-06-01,11294.40
2010-07-01,11713.40
2010-08-01,11913.90
2010-09-01,12368.70
2010-10-01,12676.20
2010-11-01,12952.90
