Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-04-30,2026-05-11 06:25 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.N.628?","https://data.bis.org/topics/RPP/BIS,WS_SPP,1.0/Q.CA.N.628?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/RPP

DATAFLOW_ID,KEY,FREQ,REF_AREA,VALUE,UNIT_MEASURE,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1970-03-31,F,,A,6.617
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1970-06-30,F,,A,6.617
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1970-09-30,F,,A,6.6716
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1970-12-31,F,,A,6.8626
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1971-03-31,F,,A,6.9172
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1971-06-30,F,,A,6.999
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1971-09-30,F,,A,6.9717
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1971-12-31,F,,A,7.3265
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1972-03-31,F,,A,7.4856
"BIS,WS_SPP,1.0",Q.CA.N.628,Q,CA,N,628,"Index, 2010 = 100",Units,1972-06-30,F,,A,7.4856
