Montréal (V) — Historical Average Rents by Bedroom Type  
2002 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2002 October,428,a ,510,a ,562,a ,713,a ,551,a ,
2003 October,447,a ,536,a ,584,a ,750,a ,570,a ,
2004 October,464,a ,544,a ,600,a ,754,a ,583,a ,
2005 October,469,a ,567,a ,625,a ,766,a ,604,a ,
2006 October,484,a ,568,a ,626,a ,777,a ,604,a ,
2007 October,492,a ,578,a ,645,a ,828,a ,625,a ,
2008 October,505,a ,592,a ,657,a ,814,a ,634,a ,
2009 October,519,a ,603,a ,666,a ,825,a ,644,a ,
2010 October,530,a ,626,a ,699,a ,883,a ,673,a ,
2011 October,554,a ,643,a ,723,a ,882,a ,695,a ,
2012 October,543,a ,637,a ,708,a ,892,a ,685,a ,
2013 October,559,a ,649,a ,732,a ,890,a ,704,a ,
2014 October,574,a ,653,a ,737,a ,916,a ,714,a ,
2015 October,577,a ,665,a ,758,a ,952,a ,735,a ,
2016 October,591,a ,678,a ,799,b ,956,a ,755,a ,
2017 October,604,a ,701,a ,783,a ,"1,016",a ,765,a ,
2018 October,650,a ,721,a ,812,a ,"1,056",a ,795,a ,
2019 October,660,a ,752,a ,851,a ,"1,118",a ,835,a ,
2020 October,712,a ,811,a ,889,a ,"1,144",a ,882,a ,
2021 October,718,a ,815,a ,917,a ,"1,183",a ,899,a ,
2022 October,790,a ,909,a ,994,a ,"1,236",a ,972,a ,
2023 October,818,a ,944,a ,"1,046",a ,"1,324",a ,"1,036",a ,
2024 October,901,a ,"1,034",a ,"1,127",a ,"1,546",b ,"1,135",a ,
2025 October,"1,014",a ,"1,111",a ,"1,348",a ,"1,692",b ,"1,272",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
