Montréal (V) — Historical Vacancy Rates by Bedroom Type  
2002 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2002 October,1.2,a ,0.7,a ,0.6,a ,1.4,a ,0.8,a ,
2003 October,1.7,a ,1.4,a ,0.9,a ,1.0,a ,1.1,a ,
2004 October,2.3,a ,1.9,a ,1.5,a ,1.3,a ,1.7,a ,
2005 October,3.8,b ,2.3,a ,1.7,a ,1.5,b ,2.1,a ,
2006 October,4.5,a ,3.4,a ,2.4,a ,2.0,b ,3.0,a ,
2007 October,4.8,b ,3.5,a ,2.4,a ,2.3,c ,3.1,a ,
2008 October,4.4,b ,2.8,a ,2.1,a ,1.0,a ,2.5,a ,
2009 October,3.7,b ,3.0,b ,2.0,a ,1.6,c ,2.5,a ,
2010 October,3.8,b ,3.2,a ,2.2,a ,1.8,b ,2.7,a ,
2011 October,3.5,b ,2.6,a ,2.2,a ,2.0,c ,2.4,a ,
2012 October,4.6,a ,2.9,a ,2.4,a ,1.8,b ,2.8,a ,
2013 October,3.9,b ,3.0,a ,2.6,a ,2.3,c ,2.8,a ,
2014 October,4.0,b ,4.3,b ,3.2,b ,2.5,c ,3.5,b ,
2015 October,6.3,b ,4.6,b ,3.7,b ,3.0,b ,4.2,a ,
2016 October,6.1,b ,4.6,b ,3.2,b ,3.2,d ,4.0,a ,
2017 October,3.6,b ,3.3,b ,2.3,a ,2.4,c ,2.8,a ,
2018 October,3.1,c ,2.1,b ,1.8,b ,0.8,a ,1.9,a ,
2019 October,3.3,d ,1.6,b ,1.5,a ,0.8,a ,1.6,a ,
2020 October,5.1,b ,3.4,b ,2.5,b ,3.6,d ,3.2,b ,
2021 October,6.9,c ,4.5,c ,2.5,b ,2.8,c ,3.6,b ,
2022 October,2.9,b ,1.9,a ,2.4,c ,**,,2.2,b ,
2023 October,2.2,b ,1.0,a ,1.9,c ,**,,1.6,b ,
2024 October,2.4,a ,1.8,b ,1.3,a ,**,,2.0,b ,
2025 October,3.6,b ,3.2,c ,2.9,b ,2.2,c ,3.0,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
