date,bc_vancouver,ab_calgary,on_toronto,on_ottawa,qc_montreal,ab_edmonton,canada_house_index
1999-01-01,66.35,69.44,71.55,69.2,59.51,,58.5525
1999-02-01,66.15,69.33,67.33,62.08,58.7,61.22,58.5525
1999-03-01,67.03,69.44,68.45,65.25,58.94,61.85,58.7194
1999-04-01,66.8,68.84,69.1,64.28,59.88,62.7,58.7194
1999-05-01,67.19,69.22,69.97,64.05,59.92,62.41,58.7194
1999-06-01,67.19,69.61,72.6,63.33,60.14,63.07,60.36
1999-07-01,67.19,69.99,70.33,65.02,60.45,63.61,60.36
1999-08-01,67.39,70.24,70.64,63.66,60.91,63.6,60.36
1999-09-01,67.54,70.51,70.78,64.72,60.76,63.51,59.4283
1999-10-01,67.39,70.77,71.08,64.26,60.92,63.8,59.4283
1999-11-01,67.73,70.52,71.16,65.74,61.32,64.25,59.4283
1999-12-01,67.63,71.21,70.84,64.78,61.65,63.9,60.0764
2000-01-01,67.77,70.7,72.86,65.61,61.08,64.75,60.0764
2000-02-01,67.69,71.85,71.6,66.46,61.54,64.5,60.0764
2000-03-01,67.65,72.11,73.06,65.51,61.9,65.12,60.0711
2000-04-01,68.06,72.67,72.78,66.43,62.22,65.26,60.0711
2000-05-01,68.22,72.89,73.78,68.59,62.46,66.2,60.0711
2000-06-01,68.78,73.72,73.77,67.68,63.38,66.32,60.7041
2000-07-01,69.11,73.1,74.45,68.06,64.07,67.08,60.7041
2000-08-01,68.54,74.04,74.8,69.62,64.79,67.18,60.7041
2000-09-01,68.54,73.7,74.65,69.1,64.46,67.32,60.0071
2000-10-01,67.92,73.78,75.48,70.55,64.77,67.26,60.0071
2000-11-01,67.8,73.49,75.4,72.73,64.84,67.47,60.0071
2000-12-01,68.14,74.48,75.52,72.12,64.54,67.86,60.2182
2001-01-01,68.35,74.5,75.59,73.26,64.53,68.51,60.2182
2001-02-01,68.58,75.73,75.95,73.03,64.77,69.16,60.2182
2001-03-01,68.09,75.23,76.82,73.67,65.18,68.8,59.9294
2001-04-01,67.22,75.58,76.87,74.39,65.7,69.25,59.9294
2001-05-01,69.15,75.58,77.02,74.42,65.79,70.07,59.9294
2001-06-01,69.69,76.05,77.7,76.68,66.8,70.43,61.4651
2001-07-01,69.49,76.44,78.32,76.45,68.51,71.18,61.4651
2001-08-01,69.47,76.74,78.32,77.59,69.15,71.61,61.4651
2001-09-01,69.79,77.77,78.73,76.91,69.04,72.0,61.5748
2001-10-01,70.46,77.58,79.43,77.56,68.47,72.63,61.5748
2001-11-01,70.32,78.04,80.03,78.09,68.53,73.49,61.5748
2001-12-01,70.25,78.02,79.61,79.06,69.15,73.81,62.9571
2002-01-01,70.33,78.46,79.81,78.0,69.08,74.53,62.9571
2002-02-01,71.46,79.33,80.78,78.37,69.08,75.21,62.9571
2002-03-01,72.08,79.87,81.87,79.74,70.12,76.9,65.2743
2002-04-01,72.88,80.75,82.55,81.38,71.3,77.8,65.2743
2002-05-01,73.98,81.56,83.81,81.74,71.36,79.21,65.2743
2002-06-01,74.48,82.04,83.98,83.34,72.51,80.08,66.8429
2002-07-01,75.24,82.73,84.68,83.46,75.04,81.03,66.8429
2002-08-01,75.21,83.09,85.11,84.51,76.28,82.01,66.8429
2002-09-01,75.16,83.79,85.62,85.37,75.62,82.05,65.5781
2002-10-01,74.92,84.64,85.71,86.34,76.0,82.8,65.5781
2002-11-01,76.09,85.38,86.11,85.35,77.1,83.02,65.5781
2002-12-01,75.13,84.78,86.61,86.46,76.94,83.32,67.3256
2003-01-01,76.18,85.97,87.19,87.17,78.86,83.64,67.3256
2003-02-01,76.85,86.66,87.2,87.23,78.45,84.49,67.3256
2003-03-01,78.07,86.28,87.91,87.26,80.0,85.04,67.8586
2003-04-01,78.6,87.32,88.7,88.83,80.21,85.8,67.8586
2003-05-01,79.28,87.56,88.91,89.25,80.87,86.22,67.8586
2003-06-01,80.12,87.85,89.02,89.75,82.31,86.99,70.2072
2003-07-01,80.69,88.3,89.31,90.05,83.52,87.31,70.2072
2003-08-01,81.55,88.83,90.14,90.83,83.83,87.83,70.2072
2003-09-01,81.67,89.11,90.53,90.45,84.72,87.77,71.4171
2003-10-01,83.14,89.32,90.89,90.92,85.75,88.17,71.4171
2003-11-01,84.49,90.31,91.05,91.33,85.87,88.41,71.4171
2003-12-01,83.43,89.74,91.04,91.94,85.32,89.02,73.3939
2004-01-01,85.03,90.51,92.11,91.93,86.02,88.78,73.3939
2004-02-01,85.78,90.77,91.73,91.93,87.97,89.67,73.3939
2004-03-01,87.75,91.5,92.31,93.29,87.98,90.29,74.2536
2004-04-01,89.43,92.72,92.75,93.85,89.49,91.42,74.2536
2004-05-01,90.32,92.46,92.16,94.1,90.79,91.6,74.2536
2004-06-01,92.22,92.72,94.28,94.39,92.34,92.02,76.8199
2004-07-01,93.42,93.95,93.74,94.73,93.01,93.27,76.8199
2004-08-01,92.9,93.62,94.43,95.31,93.61,93.81,76.8199
2004-09-01,92.93,94.17,95.09,96.38,92.5,94.49,74.8714
2004-10-01,92.4,94.73,95.29,96.41,93.76,94.52,74.8714
2004-11-01,93.79,95.64,95.48,96.31,93.61,94.34,74.8714
2004-12-01,93.12,95.97,96.09,96.15,93.95,95.21,77.3993
2005-01-01,94.81,96.9,96.74,97.68,95.51,95.81,77.3993
2005-02-01,93.51,95.64,95.97,96.31,94.87,95.83,77.3993
2005-03-01,95.5,97.59,97.65,98.01,96.7,97.59,79.9412
2005-04-01,96.69,98.17,96.5,99.49,97.93,97.68,79.9412
2005-05-01,98.54,99.45,99.44,99.77,99.06,98.73,79.9412
2005-06-01,100.0,100.0,100.0,100.0,100.0,100.0,81.2524
2005-07-01,102.04,101.3,100.54,100.12,99.31,100.57,81.2524
2005-08-01,103.62,102.49,101.17,100.77,100.26,101.87,81.2524
2005-09-01,103.02,103.45,101.07,100.81,98.86,102.33,81.9448
2005-10-01,104.57,104.84,101.37,101.1,100.64,103.34,81.9448
2005-11-01,106.24,105.29,102.14,102.08,101.38,103.3,81.9448
2005-12-01,105.73,106.05,102.3,101.9,100.52,104.41,82.9798
2006-01-01,107.72,108.37,102.2,101.28,99.4,105.66,82.9798
2006-02-01,108.04,111.06,102.14,100.71,101.81,106.66,82.9798
2006-03-01,111.06,114.23,102.95,101.82,102.95,108.73,85.6578
2006-04-01,113.34,120.65,103.64,102.93,103.11,109.85,85.6578
2006-05-01,113.29,124.41,104.39,103.71,105.23,112.7,85.6578
2006-06-01,117.91,131.47,105.56,104.22,105.9,115.96,88.764
2006-07-01,127.1,141.31,107.22,106.28,105.98,123.72,88.764
2006-08-01,127.41,148.87,106.55,105.98,109.25,129.66,88.764
2006-09-01,129.11,149.63,105.57,105.55,107.66,136.97,90.9982
2006-10-01,129.18,151.79,102.18,104.16,108.75,142.33,90.9982
2006-11-01,130.09,155.13,106.35,106.44,110.57,146.77,90.9982
2006-12-01,127.07,153.14,104.6,104.92,108.5,148.51,91.8116
2007-01-01,127.93,141.8,104.03,99.01,110.27,152.85,91.8116
2007-02-01,129.75,154.37,102.88,105.01,108.2,155.3,91.8116
2007-03-01,132.91,157.98,105.52,107.85,112.94,164.18,93.7553
2007-04-01,135.15,162.87,106.7,107.43,114.45,168.88,93.7553
