date,bc_vancouver,ab_calgary,on_toronto,on_ottawa,qc_montreal,ab_edmonton,canada_house_index,tsx_cad,sp500_usd,vt_usd,usd_cad,sp500_cad,vt_cad
1999-01-01,66.35,69.44,71.55,69.2,59.51,,,6729.6,1279.640015,,1.519442105263158,1944.338918370579,
1999-02-01,66.15,69.33,67.33,62.08,58.7,61.22,,6312.7,1238.329956,,1.4977421052631579,1854.6989153098737,
1999-03-01,67.03,69.44,68.45,65.25,58.94,61.85,58.7194,6597.8,1286.369995,,1.5175695652173913,1952.1559540208477,
1999-04-01,66.8,68.84,69.1,64.28,59.88,62.7,58.7194,7014.7,1335.180054,,1.4881,1986.8814383574,
1999-05-01,67.19,69.22,69.97,64.05,59.92,62.41,58.7194,6841.8,1301.839966,,1.4611100000000001,1902.1313927222602,
1999-06-01,67.19,69.61,72.6,63.33,60.14,63.07,60.36,7010.1,1372.709961,,1.4694863636363635,2017.1785689173043,
1999-07-01,67.19,69.99,70.33,65.02,60.45,63.61,60.36,7081.0,1328.719971,,1.489047619047619,1978.5273091985712,
1999-08-01,67.39,70.24,70.64,63.66,60.91,63.6,60.36,6970.8,1320.410034,,1.4931954545454544,1971.630260905009,
1999-09-01,67.54,70.51,70.78,64.72,60.76,63.51,59.4283,6957.7,1282.709961,,1.477052380952381,1894.629801966386,
1999-10-01,67.39,70.77,71.08,64.26,60.92,63.8,59.4283,7256.2,1362.930054,,1.4776099999999999,2013.8790770909397,
1999-11-01,67.73,70.52,71.16,65.74,61.32,64.25,59.4283,7523.2,1388.910034,,1.46743,2038.12825119262,
1999-12-01,67.63,71.21,70.84,64.78,61.65,63.9,60.0764,8413.8,1469.25,,1.4722086956521738,2163.0426260869563,
2000-01-01,67.77,70.7,72.86,65.61,61.08,64.75,60.0764,8481.1,1394.459961,,1.4486,2020.0146995046002,
2000-02-01,67.69,71.85,71.6,66.46,61.54,64.5,60.0764,9129.0,1366.420044,,1.45121,1982.96243205324,
2000-03-01,67.65,72.11,73.06,65.51,61.9,65.12,60.0711,9462.4,1498.579956,,1.4607739130434783,2189.0865063346437,
2000-04-01,68.06,72.67,72.78,66.43,62.22,65.26,60.0711,9347.6,1452.430054,,1.4688750000000002,2133.43819556925,
2000-05-01,68.22,72.89,73.78,68.59,62.46,66.2,60.0711,9252.0,1420.599976,,1.4957363636363636,2124.843042284145,
2000-06-01,68.78,73.72,73.77,67.68,63.38,66.32,60.7041,10195.5,1454.599976,,1.4770454545454543,2148.510282732727,
2000-07-01,69.11,73.1,74.45,68.06,64.07,67.08,60.7041,10406.3,1430.829956,,1.4777850000000001,2114.45904652746,
2000-08-01,68.54,74.04,74.8,69.62,64.79,67.18,60.7041,11247.9,1517.680054,,1.482813043478261,2250.4357798979913,
2000-09-01,68.54,73.7,74.65,69.1,64.46,67.32,60.0071,10377.9,1436.51001,,1.48643,2135.2715741642996,
2000-10-01,67.92,73.78,75.48,70.55,64.77,67.26,60.0071,9639.6,1429.400024,,1.5124761904761905,2161.933502966095,
