Calgary (CY) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,349,a ,456,a ,588,a ,653,a ,532,a ,
1991 October,361,a ,471,a ,602,a ,655,a ,545,a ,
1992 October,371,a ,477,a ,599,a ,644,a ,546,a ,
1993 October,358,a ,470,a ,586,a ,630,a ,533,a ,
1994 October,352,a ,466,a ,584,a ,617,a ,531,a ,
1995 October,355,a ,464,a ,584,a ,629,a ,529,a ,
1996 October,367,a ,473,a ,595,a ,632,a ,537,a ,
1997 October,387,a ,511,a ,637,a ,663,a ,573,a ,
1998 October,431,a ,574,a ,711,a ,737,a ,642,a ,
1999 October,453,a ,599,a ,738,a ,755,a ,668,a ,
2000 October,475,a ,610,a ,740,a ,764,a ,674,a ,
2001 October,492,a ,649,a ,784,a ,805,a ,713,a ,
2002 October,514,a ,657,a ,803,a ,822,a ,727,a ,
2003 October,509,a ,661,a ,802,a ,824,a ,731,a ,
2004 October,515,a ,655,a ,804,a ,803,a ,725,a ,
2005 October,524,a ,666,a ,806,a ,810,a ,732,a ,
2006 October,618,a ,780,a ,954,a ,928,a ,860,a ,
2007 October,691,a ,898,a ,"1,085",a ,"1,099",a ,986,a ,
2008 October,777,a ,951,a ,"1,143",a ,"1,143",a ,"1,043",a ,
2009 October,707,a ,913,a ,"1,092",a ,"1,132",a ,"1,002",a ,
2010 October,710,a ,895,a ,"1,066",a ,"1,113",a ,982,a ,
2011 October,707,a ,899,a ,"1,080",a ,"1,118",a ,988,a ,
2012 October,779,a ,958,a ,"1,147",a ,"1,151",a ,"1,050",a ,
2013 October,874,a ,"1,040",a ,"1,220",a ,"1,213",a ,"1,128",a ,
2014 October,909,a ,"1,134",a ,"1,314",a ,"1,303",a ,"1,221",a ,
2015 October,903,a ,"1,121",a ,"1,317",a ,"1,332",a ,"1,217",a ,
2016 October,858,a ,"1,049",a ,"1,243",a ,"1,298",a ,"1,149",a ,
2017 October,826,a ,"1,024",a ,"1,235",a ,"1,306",a ,"1,135",a ,
2018 October,880,a ,"1,048",a ,"1,260",a ,"1,315",a ,"1,156",a ,
2019 October,903,a ,"1,079",a ,"1,294",a ,"1,343",a ,"1,189",a ,
2020 October,883,a ,"1,086",a ,"1,321",a ,"1,395",a ,"1,209",a ,
2021 October,919,a ,"1,111",a ,"1,351",a ,"1,431",a ,"1,235",a ,
2022 October,974,a ,"1,224",a ,"1,466",a ,"1,579",a ,"1,351",a ,
2023 October,"1,205",a ,"1,468",a ,"1,697",a ,"1,782",a ,"1,586",a ,
2024 October,"1,360",b ,"1,589",a ,"1,879",a ,"1,960",a ,"1,744",a ,
2025 October,"1,439",a ,"1,585",a ,"1,912",a ,"2,107",a ,"1,773",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
