Canada — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,376,a ,462,a ,531,a ,617,a ,504,a ,
1991 October,388,a ,483,a ,555,a ,641,a ,526,a ,
1992 October,388,a ,493,a ,569,a ,658,a ,537,a ,
1993 October,397,a ,501,a ,576,a ,662,a ,545,a ,
1994 October,400,a ,506,a ,580,a ,670,a ,550,a ,
1995 October,409,a ,515,a ,590,a ,680,a ,559,a ,
1996 October,413,a ,521,a ,594,a ,679,a ,563,a ,
1997 October,419,a ,527,a ,598,a ,686,a ,568,a ,
1998 October,432,a ,543,a ,617,a ,705,a ,586,a ,
1999 October,448,a ,560,a ,629,a ,722,a ,601,a ,
2000 October,469,a ,582,a ,649,a ,750,a ,622,a ,
2001 October,490,a ,606,a ,673,a ,780,a ,647,a ,
2002 October,503,a ,626,a ,695,a ,805,a ,668,a ,
2003 October,516,a ,637,a ,705,a ,818,a ,678,a ,
2004 October,523,a ,645,a ,720,a ,834,a ,691,a ,
2005 October,529,a ,659,a ,733,a ,842,a ,703,a ,
2006 October,546,a ,676,a ,756,a ,877,a ,724,a ,
2007 October,563,a ,699,a ,775,a ,902,a ,746,a ,
2008 October,582,a ,726,a ,806,a ,929,a ,774,a ,
2009 October,594,a ,736,a ,814,a ,933,a ,782,a ,
2010 October,607,a ,756,a ,837,a ,967,a ,806,a ,
2011 October,636,a ,774,a ,858,a ,983,a ,826,a ,
2012 October,639,a ,792,a ,877,a ,"1,005",a ,844,a ,
2013 October,659,a ,808,a ,897,a ,"1,024",a ,862,a ,
2014 October,675,a ,828,a ,918,a ,"1,037",a ,883,a ,
2015 October,694,a ,851,a ,942,a ,"1,068",a ,907,a ,
2016 October,708,a ,868,a ,965,a ,"1,082",a ,926,a ,
2017 October,734,a ,902,a ,992,a ,"1,113",a ,956,a ,
2018 October,787,a ,945,a ,"1,028",a ,"1,148",a ,997,a ,
2019 October,820,a ,"1,000",a ,"1,080",a ,"1,199",a ,"1,049",a ,
2020 October,864,a ,"1,046",a ,"1,128",a ,"1,255",a ,"1,097",a ,
2021 October,887,a ,"1,071",a ,"1,169",a ,"1,310",a ,"1,134",a ,
2022 October,949,a ,"1,147",a ,"1,259",a ,"1,389",a ,"1,214",a ,
2023 October,"1,019",a ,"1,246",a ,"1,360",a ,"1,479",a ,"1,314",a ,
2024 October,"1,089",a ,"1,323",a ,"1,447",a ,"1,608",a ,"1,402",a ,
2025 October,"1,159",a ,"1,382",a ,"1,550",a ,"1,729",a ,"1,488",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
