Edmonton (CY) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,335,a ,414,a ,519,a ,593,a ,474,a ,
1991 October,355,a ,434,a ,538,a ,620,a ,494,a ,
1992 October,365,a ,443,a ,549,a ,630,a ,503,a ,
1993 October,372,a ,442,a ,549,a ,629,a ,502,a ,
1994 October,365,a ,432,a ,528,a ,611,a ,486,a ,
1995 October,353,a ,423,a ,522,a ,600,a ,476,a ,
1996 October,356,a ,421,a ,520,a ,601,a ,474,a ,
1997 October,359,a ,428,a ,527,a ,607,a ,481,a ,
1998 October,389,a ,450,a ,556,a ,638,a ,508,a ,
1999 October,403,a ,468,a ,581,a ,662,a ,526,a ,
2000 October,421,a ,489,a ,606,a ,681,a ,549,a ,
2001 October,459,a ,537,a ,660,a ,738,a ,600,a ,
2002 October,491,a ,576,a ,714,a ,792,a ,647,a ,
2003 October,504,a ,589,a ,727,a ,801,a ,659,a ,
2004 October,505,a ,598,a ,732,a ,803,a ,666,a ,
2005 October,514,a ,609,a ,734,a ,807,a ,673,a ,
2006 October,563,a ,667,a ,814,a ,915,a ,745,a ,
2007 October,660,a ,785,a ,969,a ,"1,119",a ,885,a ,
2008 October,709,a ,849,a ,"1,043",a ,"1,189",a ,956,a ,
2009 October,705,a ,842,a ,"1,020",a ,"1,143",a ,934,a ,
2010 October,709,a ,844,a ,"1,023",a ,"1,175",a ,941,a ,
2011 October,714,a ,858,a ,"1,041",a ,"1,193",a ,956,a ,
2012 October,744,a ,882,a ,"1,075",a ,"1,221",a ,986,a ,
2013 October,785,a ,934,a ,"1,142",a ,"1,292",a ,"1,047",a ,
2014 October,844,a ,"1,002",a ,"1,229",a ,"1,389",a ,"1,126",a ,
2015 October,872,a ,"1,029",a ,"1,259",a ,"1,409",a ,"1,155",a ,
2016 October,851,a ,999,a ,"1,233",a ,"1,388",a ,"1,132",a ,
2017 October,840,a ,987,a ,"1,218",a ,"1,378",a ,"1,119",a ,
2018 October,866,a ,"1,016",a ,"1,254",a ,"1,384",a ,"1,151",a ,
2019 October,879,a ,"1,026",a ,"1,264",a ,"1,401",a ,"1,162",a ,
2020 October,883,a ,"1,028",a ,"1,275",a ,"1,391",a ,"1,167",a ,
2021 October,881,a ,"1,034",a ,"1,272",a ,"1,410",a ,"1,173",a ,
2022 October,906,a ,"1,066",a ,"1,303",a ,"1,449",a ,"1,207",a ,
2023 October,948,a ,"1,126",a ,"1,393",a ,"1,531",a ,"1,281",a ,
2024 October,"1,051",a ,"1,218",a ,"1,508",a ,"1,686",a ,"1,395",a ,
2025 October,"1,107",a ,"1,285",a ,"1,577",a ,"1,786",a ,"1,465",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
