S&P/TSX Composite index (^GSPTSE),,,,,,
"33,891.18-73.15(-0.22%)",,,,,,
At close: May 1 at 4:20:01 PM EDT,,,,,,
"Jan 01, 1990 - May 03, 2026",,,,,,
Historical Prices,,,,,,
Monthly,,,,,,
Currency in CAD,,,,,,
Download,,,,,,
Date,Open,High,Low,Close ,Adj Close ,Volume
01-May-26,"33,979.50","34,002.70","33,851.20","33,891.20","33,891.20","199,261,700"
01-Apr-26,"32,920.20","34,430.80","32,564.10","33,964.30","33,964.30","5,878,556,500"
01-Mar-26,"34,304.90","34,544.50","31,146.30","32,768.00","32,768.00","7,607,332,400"
01-Feb-26,"31,918.90","34,510.10","31,918.90","34,340.00","34,340.00","6,086,871,800"
01-Jan-26,"31,815.70","33,428.40","31,685.50","31,923.50","31,923.50","6,116,147,200"
01-Dec-25,"31,262.10","32,081.90","30,908.10","31,712.80","31,712.80","5,918,168,500"
01-Nov-25,"30,292.10","31,411.00","29,530.90","31,382.80","31,382.80","5,314,271,000"
01-Oct-25,"30,006.40","30,808.10","29,802.50","30,260.70","30,260.70","5,873,548,000"
01-Sep-25,"28,497.40","30,066.60","28,370.10","30,022.80","30,022.80","6,266,208,000"
01-Aug-25,"27,171.70","28,607.30","26,846.70","28,564.50","28,564.50","4,737,684,200"
01-Jul-25,"26,849.60","27,581.20","26,762.90","27,259.80","27,259.80","4,831,697,100"
01-Jun-25,"26,184.40","26,857.10","26,166.60","26,857.10","26,857.10","5,852,528,600"
01-May-25,"24,854.30","26,385.40","24,750.20","26,175.10","26,175.10","5,446,219,200"
01-Apr-25,"24,909.60","25,307.20","22,227.70","24,841.70","24,841.70","5,998,878,800"
01-Mar-25,"25,411.60","25,559.50","24,145.60","24,917.50","24,917.50","6,479,638,500"
01-Feb-25,"25,139.40","25,720.60","24,742.90","25,393.50","25,393.50","4,986,456,400"
01-Jan-25,"24,821.20","25,875.60","24,469.90","25,533.10","25,533.10","4,618,383,700"
01-Dec-24,"25,650.30","25,843.20","24,250.00","24,727.90","24,727.90","5,102,652,200"
01-Nov-24,"24,225.30","25,694.50","24,162.20","25,648.00","25,648.00","4,924,806,100"
01-Oct-24,"23,982.90","24,922.90","23,824.00","24,156.90","24,156.90","4,738,843,900"
01-Sep-24,"23,282.30","24,107.00","22,679.90","24,000.40","24,000.40","5,712,698,400"
