TIME_PERIOD,OBS_VALUE
1998-12-31,58.5525
1999-03-31,58.7194
1999-06-30,60.36
1999-09-30,59.4283
1999-12-31,60.0764
2000-03-31,60.0711
2000-06-30,60.7041
2000-09-30,60.0071
2000-12-31,60.2182
2001-03-31,59.9294
2001-06-30,61.4651
2001-09-30,61.5748
2001-12-31,62.9571
2002-03-31,65.2743
2002-06-30,66.8429
2002-09-30,65.5781
2002-12-31,67.3256
2003-03-31,67.8586
2003-06-30,70.2072
2003-09-30,71.4171
2003-12-31,73.3939
2004-03-31,74.2536
2004-06-30,76.8199
2004-09-30,74.8714
2004-12-31,77.3993
2005-03-31,79.9412
2005-06-30,81.2524
2005-09-30,81.9448
2005-12-31,82.9798
2006-03-31,85.6578
2006-06-30,88.764
2006-09-30,90.9982
2006-12-31,91.8116
2007-03-31,93.7553
2007-06-30,96.4194
2007-09-30,98.4359
2007-12-31,98.7641
2008-03-31,99.9306
2008-06-30,98.653
2008-09-30,95.68
2008-12-31,93.3232
2009-03-31,90.6825
2009-06-30,91.9593
2009-09-30,95.0574
2009-12-31,97.6107
2010-03-31,100.2438
2010-06-30,101.3371
2010-09-30,99.7146
2010-12-31,98.7219
2011-03-31,100.5969
2011-06-30,102.5685
2011-09-30,103.7585
2011-12-31,103.6796
2012-03-31,105.5386
2012-06-30,106.9303
2012-09-30,106.0767
2012-12-31,104.7044
2013-03-31,105.4775
2013-06-30,107.0699
2013-09-30,107.4486
2013-12-31,108.0217
2014-03-31,109.3543
2014-06-30,110.5261
2014-09-30,111.0363
2014-12-31,111.8501
2015-03-31,114.857
2015-06-30,117.4469
2015-09-30,119.1831
2015-12-31,120.847
2016-03-31,126.8984
2016-06-30,133.3705
2016-09-30,137.1935
2016-12-31,138.2738
2017-03-31,146.4193
2017-06-30,153.8374
2017-09-30,155.6623
2017-12-31,154.6915
2018-03-31,154.147
2018-06-30,154.8542
2018-09-30,154.4196
2018-12-31,154.286
2019-03-31,152.5901
2019-06-30,151.8894
2019-09-30,151.7732
2019-12-31,153.6002
2020-03-31,156.2749
2020-06-30,160.4669
2020-09-30,161.8262
2020-12-31,165.1458
2021-03-31,167.5337
2021-06-30,176.1755
2021-09-30,177.8443
2021-12-31,179.6678
2022-03-31,198.607
2022-06-30,187.6682
2022-09-30,169.2519
2022-12-31,160.5654
2023-03-31,159.7024
2023-06-30,165.2839
2023-09-30,162.7144
2023-12-31,156.2966
2024-03-31,156.4211
2024-06-30,156.3798
2024-09-30,153.045
2024-12-31,150.5615
2025-03-31,150.6479
2025-06-30,149.181
2025-09-30,145.2817
2025-12-31,142.2693
