Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,349.00,456.00,588.00,653.00,532.00
1991-10-01,361.00,471.00,602.00,655.00,545.00
1992-10-01,371.00,477.00,599.00,644.00,546.00
1993-10-01,358.00,470.00,586.00,630.00,533.00
1994-10-01,352.00,466.00,584.00,617.00,531.00
1995-10-01,355.00,464.00,584.00,629.00,529.00
1996-10-01,367.00,473.00,595.00,632.00,537.00
1997-10-01,387.00,511.00,637.00,663.00,573.00
1998-10-01,431.00,574.00,711.00,737.00,642.00
1999-10-01,453.00,599.00,738.00,755.00,668.00
2000-10-01,475.00,610.00,740.00,764.00,674.00
2001-10-01,492.00,649.00,784.00,805.00,713.00
2002-10-01,514.00,657.00,803.00,822.00,727.00
2003-10-01,509.00,661.00,802.00,824.00,731.00
2004-10-01,515.00,655.00,804.00,803.00,725.00
2005-10-01,524.00,666.00,806.00,810.00,732.00
2006-10-01,618.00,780.00,954.00,928.00,860.00
2007-10-01,691.00,898.00,1085.00,1099.00,986.00
2008-10-01,777.00,951.00,1143.00,1143.00,1043.00
2009-10-01,707.00,913.00,1092.00,1132.00,1002.00
2010-10-01,710.00,895.00,1066.00,1113.00,982.00
2011-10-01,707.00,899.00,1080.00,1118.00,988.00
2012-10-01,779.00,958.00,1147.00,1151.00,1050.00
2013-10-01,874.00,1040.00,1220.00,1213.00,1128.00
2014-10-01,909.00,1134.00,1314.00,1303.00,1221.00
2015-10-01,903.00,1121.00,1317.00,1332.00,1217.00
2016-10-01,858.00,1049.00,1243.00,1298.00,1149.00
2017-10-01,826.00,1024.00,1235.00,1306.00,1135.00
2018-10-01,880.00,1048.00,1260.00,1315.00,1156.00
2019-10-01,903.00,1079.00,1294.00,1343.00,1189.00
2020-10-01,883.00,1086.00,1321.00,1395.00,1209.00
2021-10-01,919.00,1111.00,1351.00,1431.00,1235.00
2022-10-01,974.00,1224.00,1466.00,1579.00,1351.00
2023-10-01,1205.00,1468.00,1697.00,1782.00,1586.00
2024-10-01,1360.00,1589.00,1879.00,1960.00,1744.00
2025-10-01,1439.00,1585.00,1912.00,2107.00,1773.00
