Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
2001-10-01,0.30,0.90,0.80,0.70,0.80
2002-10-01,2.00,2.30,1.60,1.60,1.90
2003-10-01,3.20,2.90,2.90,3.60,3.00
2004-10-01,3.20,4.00,4.00,4.00,3.90
2005-10-01,3.40,3.20,3.40,4.10,3.40
2006-10-01,2.40,2.10,2.60,3.80,2.50
2007-10-01,2.20,2.20,2.40,2.70,2.30
2008-10-01,1.40,1.30,1.60,2.00,1.50
2009-10-01,1.30,1.50,1.70,2.40,1.70
2010-10-01,0.90,1.60,1.70,2.90,1.70
2011-10-01,1.30,1.30,1.60,2.40,1.50
2012-10-01,2.10,2.60,2.60,4.00,2.70
2013-10-01,1.90,3.00,3.00,3.90,3.00
2014-10-01,1.80,2.30,2.90,4.80,2.80
2015-10-01,2.30,3.00,3.80,5.00,3.50
2016-10-01,2.40,2.80,2.90,5.00,3.10
2017-10-01,1.60,1.40,2.10,1.80,1.70
2018-10-01,1.30,1.50,1.90,1.30,1.60
2019-10-01,2.20,1.70,1.90,1.60,1.80
2020-10-01,3.10,3.90,3.70,4.10,3.80
2021-10-01,3.10,3.50,3.40,4.30,3.50
2022-10-01,1.60,2.00,2.60,2.10,2.20
2023-10-01,1.60,2.10,2.50,1.80,2.20
2024-10-01,2.40,2.40,2.70,1.20,2.40
2025-10-01,3.50,3.00,2.90,1.70,2.90
