,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1998-10-01,588.00,727.00,882.00,1069.00,808.00
1999-10-01,626.00,772.00,925.00,1105.00,849.00
2000-10-01,685.00,833.00,984.00,1194.00,912.00
2001-10-01,698.00,870.00,1039.00,1243.00,955.00
2002-10-01,733.00,894.00,1055.00,1284.00,981.00
2003-10-01,734.00,884.00,1045.00,1236.00,967.00
2004-10-01,730.00,888.00,1061.00,1263.00,978.00
2005-10-01,726.00,889.00,1060.00,1267.00,977.00
2006-10-01,743.00,897.00,1078.00,1298.00,995.00
2007-10-01,742.00,902.00,1073.00,1282.00,991.00
2008-10-01,767.00,929.00,1104.00,1312.00,1018.00
2009-10-01,759.00,927.00,1106.00,1320.00,1014.00
2010-10-01,779.00,950.00,1135.00,1354.00,1046.00
2011-10-01,822.00,979.00,1161.00,1383.00,1072.00
2012-10-01,840.00,1010.00,1194.00,1443.00,1108.00
2013-10-01,876.00,1035.00,1225.00,1493.00,1139.00
2014-10-01,899.00,1071.00,1264.00,1488.00,1170.00
2015-10-01,942.00,1110.00,1301.00,1544.00,1211.00
2016-10-01,962.00,1137.00,1341.00,1549.00,1241.00
2017-10-01,1019.00,1202.00,1426.00,1610.00,1313.00
2018-10-01,1089.00,1270.00,1494.00,1674.00,1378.00
2019-10-01,1148.00,1374.00,1592.00,1764.00,1476.00
2020-10-01,1211.00,1431.00,1664.00,1901.00,1545.00
2021-10-01,1225.00,1447.00,1705.00,1970.00,1577.00
2022-10-01,1317.00,1538.00,1811.00,2077.00,1678.00
2023-10-01,1427.00,1708.00,1990.00,2222.00,1845.00
2024-10-01,1456.00,1715.00,1984.00,2232.00,1851.00
2025-10-01,1499.00,1763.00,2055.00,2342.00,1916.00
