Time,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990-10-01,0.70,0.60,0.80,0.30,0.70
1991-10-01,1.80,1.80,1.90,3.00,1.80
1992-10-01,1.60,1.40,0.90,0.30,1.40
1993-10-01,0.70,1.00,0.70,1.00,0.90
1994-10-01,0.70,0.70,0.40,0.50,0.70
1995-10-01,0.60,0.90,0.70,1.00,0.80
1996-10-01,1.00,0.60,0.80,0.10,0.70
1997-10-01,2.20,1.20,0.70,**,1.40
1998-10-01,1.20,1.50,2.00,3.30,1.50
1999-10-01,1.60,1.70,1.40,1.20,1.60
2000-10-01,1.10,0.60,1.00,0.40,0.80
2001-10-01,1.00,0.70,0.40,0.70,0.70
2002-10-01,0.90,1.20,0.80,1.40,1.10
2003-10-01,1.50,1.90,1.40,1.10,1.70
2004-10-01,0.50,0.60,0.60,0.30,0.60
2005-10-01,0.80,0.60,1.00,1.00,0.70
2006-10-01,0.30,0.30,0.40,0.00,0.40
2007-10-01,0.40,0.40,0.70,0.50,0.50
2008-10-01,0.40,0.30,0.30,0.80,0.30
2009-10-01,1.00,1.20,1.30,0.60,1.20
2010-10-01,1.20,1.30,1.20,1.10,1.30
2011-10-01,0.60,0.70,0.80,1.90,0.70
2012-10-01,0.90,1.10,1.10,0.50,1.10
2013-10-01,0.90,1.10,1.00,0.80,1.00
2014-10-01,0.60,0.50,0.40,0.70,0.50
2015-10-01,0.50,0.70,0.70,0.50,0.60
2016-10-01,0.80,0.80,1.00,1.00,0.80
2017-10-01,0.90,0.90,1.00,2.00,0.90
2018-10-01,0.80,0.80,0.70,0.70,0.80
2019-10-01,0.70,0.90,1.40,0.60,1.00
2020-10-01,3.10,2.70,2.90,2.00,2.80
2021-10-01,1.50,1.00,1.20,0.40,1.10
2022-10-01,1.20,0.70,1.20,2.10,0.90
2023-10-01,1.00,0.60,1.20,1.10,0.80
2024-10-01,1.90,1.40,1.80,2.50,1.50
2025-10-01,3.50,2.60,2.40,1.90,2.70
